sig_id,smiles,drug_id,cell_id
HDAC002_MCF7_6H:BRD-K29313308-001-02-4:5,CC(=O)Nc1ccc(cc1)C(=O)Nc1ccc(F)cc1N,BRD-K29313308,MCF7
CPD003_MCF7_6H:BRD-K96282009-001-05-4:10,COc1ccccc1O,BRD-K96282009,MCF7
HOG001_MCF7_6H:BRD-A75409952-001-01-6:0.1235,COCC1OC(=O)c2coc3c2C1(C)C1=C(C2CCC(=O)C2(C)CC1OC(C)=O)C3=O,BRD-A75409952,MCF7
NMH002_NPC_24H:BRD-K36137799-001-04-0:10,CC1=CC(=O)c2c(O)cccc2C1=O,BRD-K36137799,NPC
HOG001_MCF7_24H:BRD-A13122391-001-01-9:0.1234,CC(C)[C@@]12O[C@H]2[C@@H]3O[C@]34[C@]5(O[C@H]5CC6C7=C(CC[C@@]64C)C(=O)OC7)[C@@H]1O,BRD-A13122391,MCF7
HOG002_MCF7_24H:BRD-K76674262-001-02-5:0.0045,COC(=O)C[C@](O)(CCCC(C)(C)O)C(=O)O[C@H]1[C@H]2c3cc4OCOc4cc3CCN3CCC[C@]23C=C1OC,BRD-K76674262,MCF7
HDAC002_MCF7_24H:BRD-K52313696-001-01-6:1.25,CC(=O)Nc1ccc(cc1)C(=O)Nc1ccccc1N,BRD-K52313696,MCF7
HOG002_A549_6H:BRD-K92093830-003-18-3:1.11,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO,BRD-K92093830,A549
NMH001_FIBRNPC_24H:BRD-K93859331-001-01-0:10,Cc1ccc2[nH]cc(CCN)c2c1,BRD-K93859331,FIBRNPC
DOSBIO002_NPC_24H:BRD-K27411973:10.0723,CC(C)NC(=O)Nc1ccc2O[C@H](C)CCCCO[C@@H](CN(C)C(=O)Nc3ccccc3)[C@H](C)CN([C@H](C)CO)C(=O)c2c1,BRD-K27411973,NPC
HOG001_A549_24H:BRD-A75409952-001-01-6:0.3704,COCC1OC(=O)c2coc3c2C1(C)C1=C(C2CCC(=O)C2(C)CC1OC(C)=O)C3=O,BRD-A75409952,A549
NMH001_FIBRNPC_6H:BRD-K81418486-001-22-8:10,ONC(=O)CCCCCCC(=O)Nc1ccccc1,BRD-K81418486,FIBRNPC
DOSBIO001_A375_24H:BRD-A19500257:3.33333,COC1CC(C)CC2=C(OC)C(=O)C=C(NC(=O)C(C)=CC=CC(OC)C(OC(N)=O)C(C)=CC(C)C1O)C2=O,BRD-A19500257,A375
DOSBIO001_HT29_24H:BRD-K90734091:10.2635,CC(C)NC(=O)Nc1ccc2O[C@H](C)CCCCO[C@@H](CN(C)C(=O)c3ccncc3)[C@@H](C)CN([C@H](C)CO)C(=O)c2c1,BRD-K90734091,HT29
DOSBIO001_MCF7_24H:BRD-K08317416:10.1576,C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccc(Cl)c(Cl)c2)Oc3ccc(NC(=O)c4ccncc4)cc3CC1=O,BRD-K08317416,MCF7
DOSBIO001_MCF7_24H:BRD-K77888550:9.5278,CO[C@H]1CN(C)C(=O)c2cc(NC(=O)Nc3cccc(OC)c3)ccc2OC[C@@H](C)N(CC2CC2)C[C@@H]1C,BRD-K77888550,MCF7
DOSBIO002_A375_24H:BRD-K61001510:9.98494,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)S(=O)(=O)C)OCCCC[C@@H](C)Oc2ccc(NC(=O)c3ccncc3)cc2C1=O,BRD-K61001510,A375
DOSBIO002_A549_24H:BRD-K23958338:10.1456,CN(C)C(=O)C[C@@H]1CC[C@H](NC(=O)C2CCOCC2)[C@H](CO)O1,BRD-K23958338,A549
NMH002_NPC_6H:BRD-K52405437-001-01-4:10,C[C@]12[C@@H](CC[C@@]3(O)[C@@]45O[C@@H]4[C@@H](O)[C@H](O[C@H]5CC[C@]13C)C(O)=O)[C@@H]1OC(C)(C)[C@H]3C[C@@H]4C(=C)Cc5c(Cl)cc6[nH]c2c1c6c5[C@]34O,BRD-K52405437,NPC
HDAC002_HA1E_6H:BRD-K02130563-001-05-6:0.00976562,Cc1[nH]c2ccccc2c1CCNCc1ccc(C=CC(=O)NO)cc1,BRD-K02130563,HA1E
KMS002_THP1_24H:BRD-K03073752-001-02-5:0.12,Cc1cncc2cccc(c12)S(=O)(=O)N3CC[C@H](N)C3,BRD-K03073752,THP1
CVD001_PHH_24H:BRD-K83694683-001-01-7:2.4921,CCCNC(=O)Nc1ccc2OC[C@H](C)N(Cc3ccc(cc3)-c3ccccn3)C[C@H](C)[C@H](CN(C)C(=O)c2c1)OC,BRD-K83694683,PHH
CVD001_PHH_24H:BRD-K66383562-001-01-4:9.9816,CN1[C@H]2CC[C@@H](CC(=O)NCc3ccc(cc3)-c3ccccc3)O[C@H]2COc2ccc(NC(=O)c3cc(C)on3)cc2C1=O,BRD-K66383562,PHH
CVD001_HEPG2_6H:BRD-K32581454-001-01-5:9.8759,O[C@H]1COC[C@H]2O[C@@H](CC(=O)N3CCc4ccccc4C3)CC[C@@H]2N(Cc2ccc(Oc3ccccc3)cc2)C1,BRD-K32581454,HEPG2
DOSBIO001_NPC_24H:BRD-K09069264:10.2084,C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccccc2C(F)(F)F)OCc3cn(CCCC1=O)nn3,BRD-K09069264,NPC
HOG003_A549_24H:BRD-K81418486-001-32-7:1.11,ONC(=O)CCCCCCC(=O)Nc1ccccc1,BRD-K81418486,A549
NMH001_FIBRNPC_6H:BRD-A65771317-001-01-1:10,NCCCN1c2ccccc2S(=O)c2ccc(Cl)cc12,BRD-A65771317,FIBRNPC
DOSBIO001_HT29_24H:BRD-K23319301:10.08,COc1ccc2c3c([nH]c2c1)[C@H](CO)N(C[C@]31CCN(Cc2cccc(F)c2)CC1)C(=O)C1CCOCC1,BRD-K23319301,HT29
DOSBIO001_MCF7_24H:BRD-K49669601:9.903,C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)CC2CC2)OCCCC[C@H](C)Oc3ccc(NS(=O)(=O)c4cn(C)cn4)cc3C1=O,BRD-K49669601,MCF7
DOSBIO002_A375_24H:BRD-K31175437:9.99098,C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(=O)c2ccncc2)OCCCC[C@@H](C)Oc3ccc(NC(=O)c4ccccc4)cc3C1=O,BRD-K31175437,A375
DOSBIO002_HT29_24H:BRD-K63383460:10.0024,C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)Nc2ccccc2)OCCCC[C@H](C)Oc3ccc(NC(=O)Nc4ccccc4)cc3C1=O,BRD-K63383460,HT29
DOSBIO002_MCF7_24H:BRD-K69040870:10.1304,CCCN(C[C@H]1N[C@H](CO)[C@@H]1c1ccc(cc1)-c1cccnc1)C(C)=O,BRD-K69040870,MCF7
HOG003_MCF7_6H:BRD-K81418486-001-32-7:0.3704,ONC(=O)CCCCCCC(=O)Nc1ccccc1,BRD-K81418486,MCF7
NMH002_NEU_6H:BRD-K43571060-001-06-8:10,CC(=O)c1ccc(/N=N/C(=C2/NC(C)(C)Cc3ccccc23)/C(=O)N)cc1,BRD-K43571060,NEU
NMH002_NEU_6H:BRD-K26925640-001-01-7:10,OC(=O)c1ccccc1NC(=O)c1cccc(NC(=O)Cc2ccccc2)c1,BRD-K26925640,NEU
NMH002_NPC_6H:BRD-K42624714-001-03-3:10,COc1cccc(c1)c2cc(NCc3ccc4OCOc4c3)nc(N)n2,BRD-K42624714,NPC
NMH002_NPC_6H:BRD-A75409952-001-06-5:10,COCC1OC(=O)c2coc3c2C1(C)C1=C(C2CCC(=O)C2(C)CC1OC(C)=O)C3=O,BRD-A75409952,NPC
CPD001_PC3_24H:BRD-A25234499-001-12-6:10,CCC1(CCC(=O)NC1=O)c1ccc(N)cc1,BRD-A25234499,PC3
CPD002_MCF7_24H:BRD-K26104851-001-15-3:10,Oc1ccc(cc1)C(=O)NN=Cc2ccc(o2)[N+](=O)[O-],BRD-K26104851,MCF7
CVD001_HUH7_6H:BRD-K68866125-001-01-6:2.5,Cc1ccc2[nH]/c(=NC(=O)C(C)(C)C)/sc2c1,BRD-K68866125,HUH7
CVD001_HEPG2_6H:BRD-A37828317-001-03-0:2.5,CC(=O)O[C@@H]1C[C@@]2(C)[C@@H](C[C@H]3O[C@]32[C@@]4(C)C1[C@@]5(C)C=CC(=O)C(C)(C)C5C(=O)C4=O)c6ccoc6,BRD-A37828317,HEPG2
CVD001_HEPG2_6H:BRD-K21680192-300-04-5:2.5,OCCNCCNc1ccc(NCCNCCO)c2C(=O)c3c(O)ccc(O)c3C(=O)c12,BRD-K21680192,HEPG2
CVD001_HEPG2_6H:BRD-K03652504-001-01-9:10.0497,O[C@@H]1COC[C@H]2O[C@@H](CC(=O)N3CCc4ccccc4C3)CC[C@@H]2N(Cc2ccc(Oc3ccccc3)cc2)C1,BRD-K03652504,HEPG2
CVD001_HUH7_24H:BRD-K13183738-317-06-0:10,NC(=N)c1ccc(OCCCCCOc2ccc(cc2)C(N)=N)cc1,BRD-K13183738,HUH7
CVD001_HUH7_24H:BRD-K43405658-001-01-8:10,C[C@@H](NC(=O)/C(=C/c1ccc(O)c(O)c1)/C#N)c2ccccc2,BRD-K43405658,HUH7
HDAC001_MCF7_6H:BRD-A19037878:10,CC(C=C(C)C=CC(=O)NO)C(=O)c1ccc(cc1)N(C)C,BRD-A19037878,MCF7
NMH002_FIBRNPC_6H:BRD-K22503835-001-08-6:10,ONC(=O)CCCCCN1C(=O)c2cccc3cccc(C1=O)c23,BRD-K22503835,FIBRNPC
NMH002_FIBRNPC_24H:BRD-K41179159-001-02-3:10,ONC(=O)CCCCCC(=O)NN=Cc1ccc(cc1)-c1ccccn1,BRD-K41179159,FIBRNPC
KHW001_SKM1_6H:BRD-K02764365-001-05-2:10,COC(=O)Nc1nc2cc(SC(C)C)ccc2[nH]1,BRD-K02764365,SKM1
PRISM001_MCF7_24H:BRD-K52047316-001-01-0:5,COc1ccc(NC(=O)Nc2ccc3O[C@H](CN(C)Cc4ccc5OCOc5c4)[C@@H](C)CN([C@H](C)CO)C(=O)c3c2)cc1,BRD-K52047316,MCF7
HOG001_A549_6H:BRD-A19633847-050-20-6:10,C(C(C1CCCCC1)C1CCCCC1)C1CCCCN1,BRD-A19633847,A549
HOG001_A549_6H:BRD-A36630025-001-02-6:11.1,CCc1c2Cn3c(cc4c(COC(=O)C4(O)CC)c3=O)-c2nc5ccc(O)cc15,BRD-A36630025,A549
KHW001_HS27A_6H:BRD-K02764365-001-05-2:10,COC(=O)Nc1nc2cc(SC(C)C)ccc2[nH]1,BRD-K02764365,HS27A
PRISM001_A375_24H:BRD-K59369769-001-05-4:2.5,CN1CCN(CC1)c1cc(Nc2cc(C)[nH]n2)nc(Sc2ccc(NC(=O)C3CC3)cc2)n1,BRD-K59369769,A375
HOG002_MCF7_24H:BRD-K05649647-001-03-7:0.0412,COc1ccc(cc1)N(C(=O)c2ccccc2)S(=O)(=O)c3cc(OC)ccc3OC,BRD-K05649647,MCF7
HOG002_MCF7_24H:BRD-A35588707-001-04-8:1.11,COc1cc(cc(OC)c1O)[C@H]1[C@@H]2C(COC2=O)C(O[C@@H]2O[C@@H]3CO[C@H](OC3[C@H](O)[C@H]2O)c2cccs2)c2cc3OCOc3cc12,BRD-A35588707,MCF7
HOG002_MCF7_24H:BRD-K92093830-003-18-3:0.1234,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO,BRD-K92093830,MCF7
HOG003_MCF7_24H:BRD-A71390734-001-01-7:0.0412,CC1OC(CC(N)C1O)O[C@H]1C[C@@](O)(Cc2c(O)c3C(=O)c4ccccc4C(=O)c3c(O)c12)C(C)=O,BRD-A71390734,MCF7
HOG003_MCF7_24H:BRD-A73680854-001-01-3:10,NC(CCC(O)=O)C(=O)N1CCC[C@H]1B(O)O,BRD-A73680854,MCF7
HOG003_MCF7_24H:BRD-K81418486-001-32-7:0.0412,ONC(=O)CCCCCCC(=O)Nc1ccccc1,BRD-K81418486,MCF7
AML001_HL60_24H:BRD-K19706299:0.37037,CCCCC[C@H](O)CC[C@H]1[C@H](O)C[C@@H]2Cc3c(C[C@H]12)cccc3OCC(O)=O,BRD-K19706299,HL60
DOSBIO001_A375_24H:BRD-K63494246:10.0183,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(=O)[C@H]2CCCN2C)OCc3ccccc3-c4c(C1=O)n(C)c5ccccc45,BRD-K63494246,A375
