Cancer,Rank,Drug_Name,SMILES,Prediction_Score
BLCA,1,TC-H-106,Cc1ccc(NC(=O)CCCCCC(=O)Nc2ccccc2N)cc1,TC-H-106
BLCA,2,entinostat,Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1,entinostat
BLCA,3,BML-210,Nc1ccccc1NC(=O)CCCCCCC(=O)Nc2ccccc2,Nc1ccccc1NC(=O)CCCCCCC(=O)Nc2ccccc2
BLCA,4,RG2833,Cc1ccc(cc1)C(=O)NCCCCCC(=O)Nc1ccccc1N,RG2833
BLCA,5,Tianeptinaline,CN1c2ccccc2C(NCCCCCCC(=O)Nc2ccccc2N)c2ccc(Cl)cc2S1(=O)=O,CN1c2ccccc2C(NCCCCCCC(=O)Nc2ccccc2N)c2ccc(Cl)cc2S1(=O)=O
BRCA,1,CHEMBL2356076,C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)CC2CCCCC2)Oc3c(NC(=O)CCCCCC(=O)Nc4ccccc4N)cccc3C1=O,C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)CC2CCCCC2)Oc3c(NC(=O)CCCCCC(=O)Nc4ccccc4N)cccc3C1=O
BRCA,2,CHEMBL2130971,C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)CC2CCCCC2)Oc3c(NC(=O)CCCCCC(=O)Nc4ccccc4N)cccc3C1=O,C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)CC2CCCCC2)Oc3c(NC(=O)CCCCCC(=O)Nc4ccccc4N)cccc3C1=O
BRCA,3,CHEBI:127687,C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccccc2)Oc3ccc(NC(=O)CCCCCC(=O)Nc4ccccc4N)cc3CC1=O,C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccccc2)Oc3ccc(NC(=O)CCCCCC(=O)Nc4ccccc4N)cc3CC1=O
BRCA,4,CHEBI:128787,C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)S(=O)(=O)c2ccc(Cl)cc2)Oc3c(NC(=O)CCCCCC(=O)Nc4ccccc4N)cccc3C1=O,C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)S(=O)(=O)c2ccc(Cl)cc2)Oc3c(NC(=O)CCCCCC(=O)Nc4ccccc4N)cccc3C1=O
BRCA,5,CHEMBL2140612,C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)S(=O)(=O)c2ccc(Cl)cc2)Oc3c(NC(=O)CCCCCC(=O)Nc4ccccc4N)cccc3C1=O,C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)S(=O)(=O)c2ccc(Cl)cc2)Oc3c(NC(=O)CCCCCC(=O)Nc4ccccc4N)cccc3C1=O
CESC,1,CHEBI:95009,CC(C)n1nc(-c2cccc(c2)C(=O)NC2=NCCC2)c2c(N)ncnc12,CC(C)n1nc(-c2cccc(c2)C(=O)NC2=NCCC2)c2c(N)ncnc12
CESC,2,351071-62-0,Cc1ccccc1Oc2cccc3c(=O)cc([nH]c23)N4CCOCC4,Cc1ccccc1Oc2cccc3c(=O)cc([nH]c23)N4CCOCC4
CESC,3,957054-30-7,CS(=O)(=O)N1CCN(Cc2cc3nc(nc(N4CCOCC4)c3s2)-c2cccc3[nH]ncc23)CC1,CS(=O)(=O)N1CCN(Cc2cc3nc(nc(N4CCOCC4)c3s2)-c2cccc3[nH]ncc23)CC1
CESC,4,LY303511,O=c1cc(oc2c(cccc12)-c1ccccc1)N1CCNCC1,LY303511
