candidate,candidate_role,scope,splits,metrics,models,seeds,run_configurations,median_run_library_percentile,mean_run_library_percentile,run_library_percentile_q25,run_library_percentile_q75,run_library_percentile_sd,worst_split_metric_median_percentile,best_split_metric_median_percentile,top100_observation_fraction,top500_observation_fraction,top1_percent_observation_fraction,top10_percent_observation_fraction,rank_within_all_rows
Belinostat,class_support,primary_48_config,4,signed_wtrs | spearman_reversal,2,3,48,69.98261694058155,74.47046050475254,56.78334386852086,99.7756882989184,23.031780466370844,56.80046354825116,99.83407079646017,0.25852272727272724,0.3721590909090909,0.3333333333333333,0.5179924242424243,7
Entinostat,reference_control,primary_48_config,4,signed_wtrs | spearman_reversal,2,3,48,77.85152409046214,69.84847620218194,61.712055766259304,95.29428290490236,29.954175787115577,16.327784801236128,98.44167017839584,0.0918560606060606,0.22348484848484848,0.1770833333333333,0.3958333333333333,5
Mocetinostat,core_candidate,primary_48_config,4,signed_wtrs | spearman_reversal,2,3,48,92.20483916280376,79.59004951538138,66.20224048321394,97.75381022615535,24.76867752808002,53.8330523949993,99.35471976401179,0.08049242424242424,0.29734848484848486,0.22253787878787878,0.48390151515151514,1
NCH-51,secondary_candidate,primary_48_config,4,signed_wtrs | spearman_reversal,2,3,48,88.49820901812053,82.87285784520297,73.82927728613569,99.65936226998173,19.286223059574592,65.55257058575643,99.7603244837758,0.2414772727272727,0.3986742424242425,0.3465909090909091,0.5681818181818182,3
PCI-24781,class_support,primary_48_config,4,signed_wtrs | spearman_reversal,2,3,48,57.596748138783525,62.04241437233694,39.888853771597134,92.54415999438122,27.786016716321335,32.314053940160136,99.70325888467481,0.13825757575757575,0.21875,0.1884469696969697,0.3541666666666667,10
Panobinostat,class_support,primary_48_config,4,signed_wtrs | spearman_reversal,2,3,48,60.623858688017975,65.31168791262817,38.735250737463126,99.45085335018962,29.857794422446656,33.48082595870207,99.79368591094254,0.19223484848484848,0.2850378787878788,0.24526515151515152,0.409090909090909,9
RG2833,prediction_only,primary_48_config,4,signed_wtrs | spearman_reversal,2,3,48,72.01327433628319,71.91886003418084,55.3992836072482,90.56705646860514,21.073148452033617,47.35742379547689,94.25217727208877,0.07575757575757575,0.1799242424242424,0.1477272727272727,0.3172348484848484,6
TC-H-106,original_method_sensitive,primary_48_config,4,signed_wtrs | spearman_reversal,2,3,48,84.34822306503722,81.98984086013952,73.97194128388819,96.5396298637449,17.08613295726327,49.11855597696305,97.36181345694621,0.11647727272727271,0.23958333333333334,0.19886363636363638,0.449810606060606,4
Tianeptinaline_or_BG-1010,identity_conflict_excluded,primary_48_config,4,signed_wtrs | spearman_reversal,2,3,48,89.98191459474646,85.90589443742097,75.49515381373789,97.69630566090743,13.622680486290765,71.0097977243995,98.18268015170669,0.10606060606060604,0.26799242424242425,0.20833333333333334,0.4857954545454546,2
Vorinostat,reference_control,primary_48_config,4,signed_wtrs | spearman_reversal,2,3,48,69.45322376738307,64.02266382216602,36.58782834667791,95.95580488832702,31.045288492541534,18.953680292175868,98.96316196094958,0.13731060606060605,0.24810606060606055,0.2140151515151515,0.4128787878787879,8
