candidate,metric,cancers,all_measured_canonical_compounds,median_rank_percentile_lower_is_better,q25_rank_percentile,q75_rank_percentile,fraction_within_top_10_percent,evidence_scope
Belinostat,legacy_wtrs,22,11445,0.05605557497378535,0.046334323663054844,0.0744713386927647,0.8636363636363636,all_profile_unmatched_sensitivity_not_condition_matched_null
Belinostat,signed_wtrs,22,11445,0.0847168822090178,0.044237154840964674,0.17056973086333443,0.5,all_profile_unmatched_sensitivity_not_condition_matched_null
Entinostat,legacy_wtrs,22,11445,0.46766864732610974,0.39474833974134915,0.5128670045438657,0.0,all_profile_unmatched_sensitivity_not_condition_matched_null
Entinostat,signed_wtrs,22,11445,0.3813351974833974,0.24285651869975527,0.46382383781894443,0.0,all_profile_unmatched_sensitivity_not_condition_matched_null
Mocetinostat,legacy_wtrs,22,11445,0.0827507864383082,0.07008039147151343,0.10145054176861232,0.7272727272727273,all_profile_unmatched_sensitivity_not_condition_matched_null
Mocetinostat,signed_wtrs,22,11445,0.0520796924152394,0.034362984970290056,0.09437259699405798,0.7727272727272727,all_profile_unmatched_sensitivity_not_condition_matched_null
NCH-51,legacy_wtrs,22,11445,0.0671967843411394,0.05638325760223695,0.09238465571478502,0.8636363636363636,all_profile_unmatched_sensitivity_not_condition_matched_null
NCH-51,signed_wtrs,22,11445,0.07964872422229985,0.04369101712687865,0.1577027263194687,0.6363636363636364,all_profile_unmatched_sensitivity_not_condition_matched_null
PCI-24781,legacy_wtrs,22,11445,0.08607130373995105,0.06887888850052427,0.11025428171967835,0.5909090909090909,all_profile_unmatched_sensitivity_not_condition_matched_null
PCI-24781,signed_wtrs,22,11445,0.07060468367703596,0.036897063963649,0.16331702202027257,0.6818181818181818,all_profile_unmatched_sensitivity_not_condition_matched_null
Panobinostat,legacy_wtrs,22,11445,0.06759000349528135,0.04963299545613417,0.09979028311779092,0.7272727272727273,all_profile_unmatched_sensitivity_not_condition_matched_null
Panobinostat,signed_wtrs,22,11445,0.0918822090178259,0.046552778748689225,0.22605732261447042,0.5454545454545454,all_profile_unmatched_sensitivity_not_condition_matched_null
TC-H-106,legacy_wtrs,22,11445,0.5030146801817545,0.40901345683327506,0.5988290807409997,0.0,all_profile_unmatched_sensitivity_not_condition_matched_null
TC-H-106,signed_wtrs,22,11445,0.2535389723872772,0.14844023068857035,0.43057497378538967,0.0,all_profile_unmatched_sensitivity_not_condition_matched_null
Vorinostat,legacy_wtrs,22,11445,0.16585110101363154,0.12499999999999996,0.2365431667249213,0.13636363636363635,all_profile_unmatched_sensitivity_not_condition_matched_null
Vorinostat,signed_wtrs,22,11445,0.22116392869626,0.09924414540370494,0.3564094722125131,0.2727272727272727,all_profile_unmatched_sensitivity_not_condition_matched_null
