metric,model,omission_type,omitted,pearson,spearman
signed_wtrs,dual_stream,candidate,Belinostat,0.616609948146364,0.6258623097332776
signed_wtrs,dual_stream,candidate,Entinostat,0.5976884522634469,0.5438757321110262
signed_wtrs,dual_stream,candidate,Mocetinostat,0.699022448399605,0.6872799559706582
signed_wtrs,dual_stream,candidate,NCH-51,0.6409739754422408,0.6516950475204746
signed_wtrs,dual_stream,candidate,PCI-24781,0.6560312258684884,0.6803831209903316
signed_wtrs,dual_stream,candidate,Panobinostat,0.62986270235601,0.653735511800028
signed_wtrs,dual_stream,candidate,TC-H-106,0.6918418381775098,0.6736472888275545
signed_wtrs,dual_stream,candidate,Vorinostat,0.64152183243129,0.6114509146767212
signed_wtrs,dual_stream,cancer,BLCA,0.645181901973713,0.6463623893379769
signed_wtrs,dual_stream,cancer,BRCA,0.6506886334228842,0.6509508455616241
signed_wtrs,dual_stream,cancer,CESC,0.655497294378179,0.6542004747900649
signed_wtrs,dual_stream,cancer,CHOL,0.6364787778634036,0.6178268990337162
signed_wtrs,dual_stream,cancer,COAD,0.6280215296662675,0.6248905401369704
signed_wtrs,dual_stream,cancer,ESCA,0.6536735153932737,0.656232758489783
signed_wtrs,dual_stream,cancer,HNSC,0.6420298135285618,0.632670415719702
signed_wtrs,dual_stream,cancer,KICH,0.6560755924749545,0.6532412773776202
signed_wtrs,dual_stream,cancer,KIRC,0.6289764163472272,0.6042007278764534
signed_wtrs,dual_stream,cancer,KIRP,0.6474551051295333,0.6458182536026849
signed_wtrs,dual_stream,cancer,LIHC,0.6449927216790069,0.6424091799494841
signed_wtrs,dual_stream,cancer,LUAD,0.647481779497938,0.6481137471464511
signed_wtrs,dual_stream,cancer,LUSC,0.652084301218726,0.645694241272316
signed_wtrs,dual_stream,cancer,PAAD,0.6360457341279081,0.6253840585945608
signed_wtrs,dual_stream,cancer,PCPG,0.5406070110537189,0.5860265943177044
signed_wtrs,dual_stream,cancer,PRAD,0.6506797707493099,0.652365598473383
signed_wtrs,dual_stream,cancer,READ,0.6318540624781224,0.6257383795384718
signed_wtrs,dual_stream,cancer,SARC,0.6564904187810536,0.6616083133816899
signed_wtrs,dual_stream,cancer,STAD,0.6553948048443871,0.661005967777041
signed_wtrs,dual_stream,cancer,THCA,0.6315085483073976,0.6121375170200597
signed_wtrs,dual_stream,cancer,THYM,0.661402107687626,0.6599252888981126
signed_wtrs,dual_stream,cancer,UCEC,0.6491928799054513,0.650525660428931
signed_wtrs,fingerprint_mlp,candidate,Belinostat,0.8087547877173864,0.8135225937882484
signed_wtrs,fingerprint_mlp,candidate,Entinostat,0.783991073044192,0.7652020338927361
signed_wtrs,fingerprint_mlp,candidate,Mocetinostat,0.7803814941116366,0.7731667447037466
signed_wtrs,fingerprint_mlp,candidate,NCH-51,0.8041471277142105,0.7979316066602595
signed_wtrs,fingerprint_mlp,candidate,PCI-24781,0.8514079858090976,0.8729162046050092
signed_wtrs,fingerprint_mlp,candidate,Panobinostat,0.8196674369080645,0.8092248042912179
signed_wtrs,fingerprint_mlp,candidate,TC-H-106,0.7974434510962587,0.7948856962139697
signed_wtrs,fingerprint_mlp,candidate,Vorinostat,0.7974128867383113,0.7794031395549424
