description,effective_domain_size,goshv,intersection_size,intersections,name,native,p_value,parents,precision,query,query_size,recall,significant,source,term_size,source_order,group_id,candidate,gene_set_scope,intersection_genes,intersection_evidence_codes
"""The cell cycle process in which replicated homologous chromosomes are organized and then physically separated and apportioned to two sets during the mitotic cell cycle. Each replicated chromosome, composed of two sister chromatids, aligns at the cell equator, paired with its homologous partner. One homolog of each morphologic type goes into each of the resulting chromosome sets."" [GOC:ai, GOC:jl]",11154,10146,27,"[[""IDA""], [], [], [""IMP""], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IMP"", ""TAS""], [], [], [], [""IMP""], [""IBA""], [], [], [], [], [], [""IDA"", ""IMP"", ""IBA"", ""IEA""], [], [], [""IDA"", ""IEA""], [""IDA"", ""IBA""], [""NAS""], [], [""IBA"", ""TAS""], [""NAS""], [], [""ISS""], [], [], [], [], [""IDA"", ""IMP""], [""IDA"", ""IBA"", ""NAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP""], [], [], [], [], [], [], [], [], [], [""NAS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP""], [], [], [], [], [], [""IDA"", ""IMP"", ""IBA""], [], [], [], [], [], [""IDA"", ""IMP"", ""IBA"", ""TAS"", ""NAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""NAS""], [], [""IMP"", ""IBA"", ""TAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [""IMP"", ""IBA"", ""NAS""], [], [], [], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [], [""IDA"", ""IMP"", ""TAS"", ""NAS""], [], [], [], [""IMP"", ""IBA"", ""NAS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",mitotic sister chromatid segregation,GO:0000070,2.7970629572100754e-17,"[""GO:0000819"", ""GO:0140014"", ""GO:1903047""]",0.135,query_1,200,0.19014084507042253,True,GO:BP,142,23,9,Belinostat,all_selected,11065 | 81620 | 5347 | 24137 | 146909 | 23397 | 22974 | 11130 | 57405 | 9055 | 1063 | 56992 | 220134 | 4085 | 5901 | 332 | 9319 | 3832 | 10403 | 9787 | 699 | 55143 | 7272 | 9212 | 3833 | 4751 | 4605,IDA | IMP | TAS | IBA | IEA | NAS | ISS
"""The process in which genetic material, in the form of chromosomes, is organized into specific structures and then physically separated and apportioned to two or more sets. In eukaryotes, chromosome segregation begins with the condensation of chromosomes, includes chromosome separation, and ends when chromosomes have completed movement to the spindle poles."" [GOC:jl, GOC:mah, GOC:mtg_cell_cycle, GOC:vw]",11154,12648,36,"[[""IDA"", ""IBA""], [], [], [""IMP""], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [""IDA"", ""IMP"", ""TAS"", ""IEA""], [], [], [], [""IMP"", ""IBA""], [""IBA""], [], [], [], [""IMP""], [], [""IDA"", ""IMP"", ""ISO"", ""IBA"", ""IEA""], [], [], [""IDA"", ""IEA""], [""IDA"", ""ISS"", ""IBA""], [""IDA"", ""IMP"", ""IBA"", ""NAS"", ""IEA""], [], [""IBA"", ""TAS""], [""IDA"", ""IMP"", ""IBA"", ""NAS""], [""IDA""], [""ISS""], [""IMP""], [], [], [], [""IDA"", ""IMP"", ""ISS"", ""IBA"", ""IEA""], [""IDA"", ""IBA"", ""NAS"", ""IEA""], [], [], [""IMP""], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP""], [], [], [], [], [], [], [], [], [], [""IBA"", ""NAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""NAS""], [""IMP"", ""ISS"", ""IEA""], [], [], [], [], [], [""IDA"", ""IMP"", ""IBA"", ""IEA""], [], [], [], [], [], [""IDA"", ""IMP"", ""IBA"", ""TAS"", ""NAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP"", ""IBA"", ""IEA""], [], [""IBA"", ""NAS""], [""IEA""], [""IMP"", ""IBA"", ""TAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [""IMP"", ""IBA"", ""NAS""], [], [], [], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [], [""IDA"", ""IMP"", ""TAS"", ""NAS""], [], [], [], [""IMP"", ""IBA"", ""NAS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IMP"", ""IBA"", ""TAS"", ""IEA""], [""IEA""], [], [], [""IBA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",chromosome segregation,GO:0007059,2.7970629572100754e-17,"[""GO:0022402""]",0.18,query_1,200,0.12244897959183673,True,GO:BP,294,2525,9,Belinostat,all_selected,11065 | 81620 | 9133 | 5347 | 24137 | 146909 | 55355 | 23397 | 22974 | 11130 | 57405 | 9055 | 1063 | 4288 | 56992 | 1894 | 220134 | 4085 | 10460 | 5901 | 332 | 79019 | 9319 | 3832 | 10403 | 7153 | 9787 | 259266 | 699 | 55143 | 7272 | 9212 | 3833 | 4751 | 4605 | 11339,IDA | IBA | IMP | IEA | TAS | ISO | ISS | NAS
"""The process in which genetic material, in the form of nuclear chromosomes, is organized into specific structures and then physically separated and apportioned to two or more sets. Nuclear chromosome segregation begins with the condensation of chromosomes, includes chromosome separation, and ends when chromosomes have completed movement to the spindle poles."" [GOC:dos]",11154,27783,32,"[[""IDA"", ""IBA""], [], [], [""IMP""], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [""IDA"", ""IMP"", ""TAS"", ""IEA""], [], [], [], [""IMP"", ""IBA""], [""IBA""], [], [], [], [], [], [""IDA"", ""IMP"", ""IBA"", ""IEA""], [], [], [""IDA"", ""IEA""], [""IDA"", ""ISS"", ""IBA""], [""IDA"", ""NAS""], [], [""IBA"", ""TAS""], [""IDA"", ""IBA"", ""NAS""], [], [""ISS""], [""IMP""], [], [], [], [""IDA"", ""IMP"", ""ISS""], [""IDA"", ""IBA"", ""NAS"", ""IEA""], [], [], [""IMP""], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP""], [], [], [], [], [], [], [], [], [], [""NAS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP"", ""ISS"", ""IEA""], [], [], [], [], [], [""IDA"", ""IMP"", ""IBA""], [], [], [], [], [], [""IDA"", ""IMP"", ""IBA"", ""TAS"", ""NAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IBA""], [], [""NAS""], [""IEA""], [""IMP"", ""IBA"", ""TAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [""IMP"", ""IBA"", ""NAS""], [], [], [], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [], [""IDA"", ""IMP"", ""TAS"", ""NAS""], [], [], [], [""IMP"", ""IBA"", ""NAS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP"", ""IEA""], [""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",nuclear chromosome segregation,GO:0098813,2.7970629572100754e-17,"[""GO:0007059""]",0.16,query_1,200,0.14479638009049775,True,GO:BP,221,17660,9,Belinostat,all_selected,11065 | 81620 | 9133 | 5347 | 24137 | 146909 | 23397 | 22974 | 11130 | 57405 | 9055 | 1063 | 56992 | 1894 | 220134 | 4085 | 10460 | 5901 | 332 | 9319 | 3832 | 10403 | 7153 | 9787 | 259266 | 699 | 55143 | 7272 | 9212 | 3833 | 4751 | 4605,IDA | IBA | IMP | IEA | TAS | ISS | NAS
"""The cell cycle process in which sister chromatids are organized and then physically separated and apportioned to two or more sets."" [GOC:ai, GOC:elh]",11154,10352,29,"[[""IDA"", ""IBA""], [], [], [""IMP""], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IMP"", ""TAS""], [], [], [], [""IMP""], [""IBA""], [], [], [], [], [], [""IDA"", ""IMP"", ""IBA"", ""IEA""], [], [], [""IDA"", ""IEA""], [""IDA"", ""ISS"", ""IBA""], [""NAS""], [], [""IBA"", ""TAS""], [""NAS""], [], [""ISS""], [], [], [], [], [""IDA"", ""IMP""], [""IDA"", ""IBA"", ""NAS"", ""IEA""], [], [], [""IMP""], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP""], [], [], [], [], [], [], [], [], [], [""NAS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP""], [], [], [], [], [], [""IDA"", ""IMP"", ""IBA""], [], [], [], [], [], [""IDA"", ""IMP"", ""IBA"", ""TAS"", ""NAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IBA""], [], [""NAS""], [], [""IMP"", ""IBA"", ""TAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [""IMP"", ""IBA"", ""NAS""], [], [], [], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [], [""IDA"", ""IMP"", ""TAS"", ""NAS""], [], [], [], [""IMP"", ""IBA"", ""NAS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",sister chromatid segregation,GO:0000819,2.916866439659948e-17,"[""GO:0051276"", ""GO:0098813""]",0.145,query_1,200,0.1657142857142857,True,GO:BP,175,229,9,Belinostat,all_selected,11065 | 81620 | 5347 | 24137 | 146909 | 23397 | 22974 | 11130 | 57405 | 9055 | 1063 | 56992 | 220134 | 4085 | 10460 | 5901 | 332 | 9319 | 3832 | 10403 | 7153 | 9787 | 699 | 55143 | 7272 | 9212 | 3833 | 4751 | 4605,IDA | IBA | IMP | TAS | IEA | ISS | NAS
Cell Cycle,11154,39661,45,"[[""REAC""], [], [], [""REAC""], [], [], [""REAC""], [], [""REAC""], [""REAC""], [], [], [], [], [], [""REAC""], [""REAC""], [""REAC""], [""REAC""], [""REAC""], [], [], [], [], [], [""REAC""], [], [""REAC""], [], [], [""REAC""], [""REAC""], [""REAC""], [], [], [""REAC""], [], [], [], [""REAC""], [], [], [""REAC""], [""REAC""], [], [], [], [""REAC""], [], [], [], [""REAC""], [], [], [""REAC""], [], [], [], [], [""REAC""], [], [], [], [], [], [], [], [""REAC""], [], [""REAC""], [], [], [], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [""REAC""], [], [""REAC""], [], [], [], [], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [""REAC""], [""REAC""], [], [], [], [], [], [], [], [], [""REAC""], [""REAC""], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [""REAC""], [], [""REAC""], [], [], [""REAC""], [""REAC""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""REAC""], [], [""REAC""], [""REAC""], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [], []]",Cell Cycle,REAC:R-HSA-1640170,3.60135601616797e-17,"[""REAC:0000000""]",0.225,query_1,200,0.0891089108910891,True,REAC,505,337,21,Belinostat,all_selected,11065 | 81620 | 4171 | 5427 | 1019 | 9133 | 5347 | 2305 | 890 | 51512 | 55355 | 23397 | 22974 | 11130 | 57405 | 1063 | 6241 | 220134 | 4085 | 2237 | 9837 | 4176 | 5901 | 7298 | 332 | 4001 | 79019 | 5577 | 10403 | 5888 | 5984 | 23345 | 3978 | 7153 | 10112 | 699 | 55143 | 3161 | 1058 | 9212 | 23649 | 4751 | 4605 | 11339 | 993,REAC
"Cell Cycle, Mitotic",11154,39663,41,"[[""REAC""], [], [], [""REAC""], [], [], [""REAC""], [], [""REAC""], [""REAC""], [], [], [], [], [], [""REAC""], [""REAC""], [""REAC""], [""REAC""], [""REAC""], [], [], [], [], [], [], [], [""REAC""], [], [], [""REAC""], [""REAC""], [""REAC""], [], [], [""REAC""], [], [], [], [""REAC""], [], [], [""REAC""], [""REAC""], [], [], [], [""REAC""], [], [], [], [""REAC""], [], [], [""REAC""], [], [], [], [], [""REAC""], [], [], [], [], [], [], [], [""REAC""], [], [""REAC""], [], [], [], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [""REAC""], [], [], [], [], [], [], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [], [], [], [], [], [], [""REAC""], [""REAC""], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [""REAC""], [], [""REAC""], [], [], [""REAC""], [""REAC""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""REAC""], [], [""REAC""], [""REAC""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [], []]","Cell Cycle, Mitotic",REAC:R-HSA-69278,3.60135601616797e-17,"[""REAC:R-HSA-1640170""]",0.205,query_1,200,0.10123456790123457,True,REAC,405,339,21,Belinostat,all_selected,11065 | 81620 | 4171 | 5427 | 1019 | 9133 | 5347 | 2305 | 890 | 51512 | 23397 | 22974 | 11130 | 57405 | 1063 | 6241 | 220134 | 4085 | 2237 | 9837 | 4176 | 5901 | 7298 | 332 | 4001 | 79019 | 5577 | 10403 | 5984 | 3978 | 7153 | 10112 | 699 | 55143 | 3161 | 1058 | 9212 | 23649 | 4751 | 4605 | 993,REAC
"""A process that is part of the mitotic cell cycle."" [GO_REF:0000060, GOC:mtg_cell_cycle, GOC:TermGenie]",11154,31273,47,"[[""IDA"", ""IMP"", ""IBA""], [], [], [""IMP""], [], [], [""IBA""], [], [], [""IDA"", ""IMP"", ""IBA"", ""NAS""], [], [], [], [], [], [""IBA"", ""IEA""], [""IDA"", ""IMP"", ""IBA"", ""TAS""], [""IDA"", ""IEA""], [""IDA"", ""IBA"", ""NAS"", ""IEA""], [], [""IMP"", ""IBA""], [""IBA""], [], [""IMP""], [], [], [], [""IDA"", ""IMP"", ""IBA"", ""IEA""], [], [], [""IDA"", ""ISS"", ""IEA""], [""IDA"", ""IBA"", ""IEA""], [""IMP"", ""NAS""], [], [""IBA"", ""TAS""], [""IMP"", ""IBA"", ""NAS""], [""IDA"", ""IBA""], [""ISS""], [""IMP"", ""IBA""], [""IDA""], [], [], [""IDA"", ""IMP""], [""IDA"", ""IMP"", ""IBA"", ""NAS"", ""IEA""], [], [], [""IMP"", ""IEA""], [], [], [], [""IGI""], [""IBA""], [], [], [], [], [], [], [], [""IMP"", ""TAS""], [], [], [], [], [], [], [], [], [], [""IBA"", ""NAS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP""], [], [], [], [], [], [""IDA"", ""IMP"", ""IBA"", ""TAS"", ""IEA""], [], [], [], [], [], [""IDA"", ""IMP"", ""IBA"", ""TAS"", ""NAS"", ""IEA""], [], [""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IBA""], [], [], [], [], [], [], [], [], [], [""IMP""], [""IBA"", ""NAS""], [], [""IMP"", ""IBA"", ""TAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [""IMP"", ""IBA"", ""NAS""], [], [], [], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [""IMP""], [""IDA"", ""IMP"", ""ISS"", ""IBA"", ""TAS"", ""NAS""], [], [], [""TAS""], [""IMP"", ""IBA"", ""NAS""], [""IDA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP"", ""TAS"", ""IEA""], [""IEA""], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [], [], [], [], [], [], [], [], [""IDA"", ""IBA"", ""TAS""], [], [], [], []]",mitotic cell cycle process,GO:1903047,2.0099964334319464e-16,"[""GO:0000278"", ""GO:0022402""]",0.235,query_1,200,0.08274647887323944,True,GO:BP,568,21150,9,Belinostat,all_selected,11065 | 81620 | 4171 | 1019 | 9133 | 5347 | 2305 | 890 | 24137 | 146909 | 11170 | 23397 | 22974 | 11130 | 57405 | 9055 | 1063 | 4288 | 56992 | 1894 | 6241 | 220134 | 4085 | 10460 | 26586 | 9837 | 5901 | 332 | 9319 | 3832 | 10403 | 5888 | 3978 | 10112 | 9787 | 699 | 55143 | 7272 | 1058 | 9212 | 9833 | 3833 | 5243 | 4751 | 4605 | 4303 | 993,IDA | IMP | IBA | NAS | IEA | TAS | ISS | IGI
"""The process resulting in division and partitioning of components of a cell to form more cells; may or may not be accompanied by the physical separation of a cell into distinct, individually membrane-bounded daughter cells."" [GOC:di, GOC:go_curators, GOC:pr]",11154,22854,40,"[[""IEA""], [], [], [""IEA""], [], [], [], [], [], [""IEA""], [], [], [], [], [], [""IEA""], [""IDA"", ""IMP"", ""TAS"", ""IEA""], [], [""IEA""], [], [""IMP""], [""IDA"", ""IEA""], [], [], [], [], [], [""IEA""], [], [], [""IEA""], [""IEA""], [""IEA""], [], [""IDA"", ""IEA""], [""IEA""], [], [], [""IDA"", ""IMP"", ""IBA"", ""IEA""], [], [], [], [""IEA""], [""IEA""], [], [""IEA""], [""IEA""], [], [], [], [""IGI""], [], [], [], [], [], [], [], [], [""IEA""], [], [], [], [], [], [], [], [], [], [""IBA"", ""NAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [], [], [], [], [], [""IEA""], [], [], [], [], [], [""IDA""], [], [], [], [], [], [], [], [""IDA""], [], [], [], [], [], [""IEA""], [], [], [], [], [], [], [], [], [""IEA""], [""IDA"", ""IMP""], [], [""IEA""], [""IEA""], [], [""IEA""], [], [], [], [], [], [], [], [""NAS"", ""IEA""], [], [], [], [], [""IMP"", ""IEA""], [""IDA"", ""IMP"", ""ISS"", ""IBA"", ""TAS"", ""NAS"", ""IEA""], [], [], [], [""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [], [], [], [""IEA""], [], [], [], [""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [], [], [], []]",cell division,GO:0051301,2.179267511548331e-14,"[""GO:0009987""]",0.2,query_1,200,0.08695652173913043,True,GO:BP,460,12731,9,Belinostat,all_selected,11065 | 81620 | 1019 | 9133 | 5347 | 890 | 24137 | 146909 | 23397 | 22974 | 11130 | 57405 | 9055 | 1063 | 1894 | 220134 | 4085 | 4192 | 10460 | 26586 | 5901 | 332 | 3832 | 10403 | 10628 | 3068 | 3978 | 7153 | 10112 | 259266 | 699 | 83461 | 55143 | 1058 | 9212 | 3833 | 4751 | 11339 | 8091 | 993,IEA | IDA | IMP | TAS | IBA | IGI | NAS | ISS
"""A mitotic cell cycle process comprising the steps by which the nucleus of a eukaryotic cell divides; the process involves condensation of chromosomal DNA into a highly compacted form. Canonically, mitosis produces two daughter nuclei whose chromosome complement is identical to that of the mother cell."" [ISBN:0198547684]",11154,28486,28,"[[""IDA"", ""IMP""], [], [], [""IMP""], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IMP"", ""TAS""], [], [], [], [""IMP""], [""IBA""], [], [], [], [], [], [""IDA"", ""IMP"", ""IBA"", ""IEA""], [], [], [""IDA"", ""IEA""], [""IDA"", ""IBA""], [""NAS""], [], [""IBA"", ""TAS""], [""NAS""], [""IDA"", ""IBA""], [""ISS""], [], [], [], [], [""IDA"", ""IMP""], [""IDA"", ""IBA"", ""NAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP""], [], [], [], [], [], [], [], [], [], [""NAS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP""], [], [], [], [], [], [""IDA"", ""IMP"", ""IBA"", ""IEA""], [], [], [], [], [], [""IDA"", ""IMP"", ""IBA"", ""TAS"", ""NAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""NAS""], [], [""IMP"", ""IBA"", ""TAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [""IMP"", ""IBA"", ""NAS""], [], [], [], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [], [""IDA"", ""IMP"", ""TAS"", ""NAS""], [], [], [], [""IMP"", ""IBA"", ""NAS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP"", ""TAS"", ""IEA""], [""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",mitotic nuclear division,GO:0140014,2.992381266052048e-14,"[""GO:0000280"", ""GO:1903047""]",0.14,query_1,200,0.13333333333333333,True,GO:BP,210,18363,9,Belinostat,all_selected,11065 | 81620 | 5347 | 24137 | 146909 | 23397 | 22974 | 11130 | 57405 | 9055 | 1063 | 4288 | 56992 | 220134 | 4085 | 5901 | 332 | 9319 | 3832 | 10403 | 9787 | 699 | 55143 | 7272 | 9212 | 3833 | 4751 | 4605,IDA | IMP | TAS | IBA | IEA | NAS | ISS
"""Progression through the phases of the mitotic cell cycle, the most common eukaryotic cell cycle, which canonically comprises four successive phases called G1, S, G2, and M and includes replication of the genome and the subsequent segregation of chromosomes into daughter cells. In some variant cell cycles nuclear replication or nuclear division may not be followed by cell division, or G1 and G2 phases may be absent."" [GOC:mah, ISBN:0815316194]",11154,10198,48,"[[""IDA"", ""IMP"", ""IBA""], [], [], [""IMP"", ""IBA""], [], [], [""IBA""], [], [], [""IDA"", ""IMP"", ""IBA"", ""NAS""], [], [], [], [], [], [""IBA"", ""IEA""], [""IDA"", ""IMP"", ""IBA"", ""TAS""], [""IDA"", ""IEA""], [""IDA"", ""IBA"", ""NAS"", ""IEA""], [], [""IMP"", ""IBA""], [""IDA"", ""IBA""], [], [""IMP""], [], [], [], [""IDA"", ""IMP"", ""IBA"", ""IEA""], [], [], [""IDA"", ""ISS"", ""TAS"", ""IEA""], [""IDA"", ""IBA"", ""IEA""], [""IMP"", ""NAS""], [], [""IBA"", ""TAS""], [""IMP"", ""IBA"", ""NAS""], [""IDA"", ""IBA""], [""ISS"", ""TAS""], [""IMP"", ""IBA""], [""IDA""], [], [], [""IDA"", ""IMP"", ""IBA""], [""IDA"", ""IMP"", ""IBA"", ""NAS"", ""IEA""], [], [], [""IMP"", ""IEA""], [], [], [], [""IGI""], [""IBA""], [], [], [], [], [], [], [], [""IMP"", ""TAS""], [], [], [], [], [], [], [], [], [], [""IBA"", ""NAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP""], [], [], [], [], [], [""IDA"", ""IMP"", ""IBA"", ""TAS"", ""IEA""], [], [], [], [], [], [""IDA"", ""IMP"", ""IBA"", ""TAS"", ""NAS"", ""IEA""], [], [""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IBA""], [], [], [], [], [], [], [], [], [], [""IMP""], [""IBA"", ""NAS""], [], [""IMP"", ""IBA"", ""TAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [""IMP"", ""IBA"", ""NAS""], [], [], [], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [""IMP""], [""IDA"", ""IMP"", ""ISS"", ""IBA"", ""TAS"", ""NAS""], [], [], [""TAS""], [""IMP"", ""IBA"", ""NAS""], [""IDA""], [], [], [], [], [], [], [], [], [], [], [], [""NAS""], [], [], [], [], [], [], [], [""IMP"", ""TAS"", ""IEA""], [""IBA"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [], [], [], [], [], [], [], [], [""IDA"", ""IBA"", ""TAS""], [], [], [], []]",mitotic cell cycle,GO:0000278,3.6493324537498694e-14,"[""GO:0007049""]",0.24,query_1,200,0.07038123167155426,True,GO:BP,682,75,9,Belinostat,all_selected,11065 | 81620 | 4171 | 1019 | 9133 | 5347 | 2305 | 890 | 24137 | 146909 | 11170 | 23397 | 22974 | 11130 | 57405 | 9055 | 1063 | 4288 | 56992 | 1894 | 6241 | 220134 | 4085 | 10460 | 26586 | 9837 | 5901 | 332 | 9319 | 3832 | 10403 | 5888 | 3978 | 10112 | 9787 | 699 | 55143 | 7272 | 1058 | 9212 | 9833 | 3833 | 5243 | 3082 | 4751 | 4605 | 4303 | 993,IDA | IMP | IBA | NAS | IEA | TAS | ISS | IGI
