description,effective_domain_size,goshv,intersection_size,intersections,name,native,p_value,parents,precision,query,query_size,recall,significant,source,term_size,source_order,group_id,candidate,gene_set_scope,intersection_genes,intersection_evidence_codes,representative_rank
"""The cell cycle process in which replicated homologous chromosomes are organized and then physically separated and apportioned to two sets during the mitotic cell cycle. Each replicated chromosome, composed of two sister chromatids, aligns at the cell equator, paired with its homologous partner. One homolog of each morphologic type goes into each of the resulting chromosome sets."" [GOC:ai, GOC:jl]",11154,10146,27,"[[""IDA""], [], [], [""IMP""], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IMP"", ""TAS""], [], [], [], [""IMP""], [""IBA""], [], [], [], [], [], [""IDA"", ""IMP"", ""IBA"", ""IEA""], [], [], [""IDA"", ""IEA""], [""IDA"", ""IBA""], [""NAS""], [], [""IBA"", ""TAS""], [""NAS""], [], [""ISS""], [], [], [], [], [""IDA"", ""IMP""], [""IDA"", ""IBA"", ""NAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP""], [], [], [], [], [], [], [], [], [], [""NAS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP""], [], [], [], [], [], [""IDA"", ""IMP"", ""IBA""], [], [], [], [], [], [""IDA"", ""IMP"", ""IBA"", ""TAS"", ""NAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""NAS""], [], [""IMP"", ""IBA"", ""TAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [""IMP"", ""IBA"", ""NAS""], [], [], [], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [], [""IDA"", ""IMP"", ""TAS"", ""NAS""], [], [], [], [""IMP"", ""IBA"", ""NAS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",mitotic sister chromatid segregation,GO:0000070,2.7970629572100754e-17,"[""GO:0000819"", ""GO:0140014"", ""GO:1903047""]",0.135,query_1,200,0.19014084507042253,True,GO:BP,142,23,9,Belinostat,all_selected,11065 | 81620 | 5347 | 24137 | 146909 | 23397 | 22974 | 11130 | 57405 | 9055 | 1063 | 56992 | 220134 | 4085 | 5901 | 332 | 9319 | 3832 | 10403 | 9787 | 699 | 55143 | 7272 | 9212 | 3833 | 4751 | 4605,IDA | IMP | TAS | IBA | IEA | NAS | ISS,1.0
"""The process resulting in division and partitioning of components of a cell to form more cells; may or may not be accompanied by the physical separation of a cell into distinct, individually membrane-bounded daughter cells."" [GOC:di, GOC:go_curators, GOC:pr]",11154,22854,40,"[[""IEA""], [], [], [""IEA""], [], [], [], [], [], [""IEA""], [], [], [], [], [], [""IEA""], [""IDA"", ""IMP"", ""TAS"", ""IEA""], [], [""IEA""], [], [""IMP""], [""IDA"", ""IEA""], [], [], [], [], [], [""IEA""], [], [], [""IEA""], [""IEA""], [""IEA""], [], [""IDA"", ""IEA""], [""IEA""], [], [], [""IDA"", ""IMP"", ""IBA"", ""IEA""], [], [], [], [""IEA""], [""IEA""], [], [""IEA""], [""IEA""], [], [], [], [""IGI""], [], [], [], [], [], [], [], [], [""IEA""], [], [], [], [], [], [], [], [], [], [""IBA"", ""NAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [], [], [], [], [], [""IEA""], [], [], [], [], [], [""IDA""], [], [], [], [], [], [], [], [""IDA""], [], [], [], [], [], [""IEA""], [], [], [], [], [], [], [], [], [""IEA""], [""IDA"", ""IMP""], [], [""IEA""], [""IEA""], [], [""IEA""], [], [], [], [], [], [], [], [""NAS"", ""IEA""], [], [], [], [], [""IMP"", ""IEA""], [""IDA"", ""IMP"", ""ISS"", ""IBA"", ""TAS"", ""NAS"", ""IEA""], [], [], [], [""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [], [], [], [""IEA""], [], [], [], [""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [], [], [], []]",cell division,GO:0051301,2.179267511548331e-14,"[""GO:0009987""]",0.2,query_1,200,0.08695652173913043,True,GO:BP,460,12731,9,Belinostat,all_selected,11065 | 81620 | 1019 | 9133 | 5347 | 890 | 24137 | 146909 | 23397 | 22974 | 11130 | 57405 | 9055 | 1063 | 1894 | 220134 | 4085 | 4192 | 10460 | 26586 | 5901 | 332 | 3832 | 10403 | 10628 | 3068 | 3978 | 7153 | 10112 | 259266 | 699 | 83461 | 55143 | 1058 | 9212 | 3833 | 4751 | 11339 | 8091 | 993,IEA | IDA | IMP | TAS | IBA | IGI | NAS | ISS,2.0
"""A mitotic cell cycle checkpoint that delays mitotic sister chromatid separation and consequently the mitotic metaphase/anaphase transition until the spindle is correctly assembled and chromosomes are attached to the spindle. Spindle assembly checkpoint signaling begins with the activated Mph family kinase, and results in the inhibition of the Anaphase Promoting Complex and its activator Sleepy/Cdc20 by the mitotic checkpoint complex (MCC)."" [GOC:mtg_cell_cycle, PMID:12360190]",11154,12666,13,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IBA""], [""NAS""], [], [], [""NAS""], [], [], [], [], [], [], [""IMP""], [""IDA"", ""IBA"", ""NAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""NAS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP""], [], [], [], [], [], [], [], [], [], [], [], [""IMP"", ""NAS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP"", ""IBA"", ""TAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [""NAS""], [], [], [], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [], [""NAS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",mitotic spindle assembly checkpoint signaling,GO:0007094,5.714741376551183e-12,"[""GO:0045841"", ""GO:0071173"", ""GO:0071174""]",0.065,query_1,200,0.35135135135135137,True,GO:BP,37,2543,9,Belinostat,all_selected,5347 | 11130 | 57405 | 1063 | 220134 | 4085 | 332 | 9319 | 10403 | 699 | 55143 | 7272 | 9212,IMP | IDA | IBA | NAS | IEA | TAS,3.0
"""The aggregation, arrangement and bonding together of a set of components to form the spindle, the array of microtubules and associated molecules that serves to move duplicated chromosomes apart."" [GOC:ai, GOC:expert_rg, GOC:mtg_sensu, GOC:tb]",11154,22804,16,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [""IDA""], [], [], [], [""IMP""], [], [], [], [], [], [], [], [], [], [""IDA"", ""IEA""], [], [], [], [""IBA""], [], [], [""ISS""], [], [], [], [], [""ISS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""NAS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IMP"", ""IBA"", ""IEA""], [], [], [], [], [], [""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [], [], [], [], [], [], [], [], [], [], [""NAS""], [], [], [], [], [], [""IMP"", ""TAS"", ""NAS""], [], [], [], [""IMP"", ""IBA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""TAS"", ""IEA""], [""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",spindle assembly,GO:0051225,1.556673889246766e-09,"[""GO:0007051"", ""GO:0007059"", ""GO:0140694""]",0.08,query_1,200,0.16161616161616163,True,GO:BP,99,12681,9,Belinostat,all_selected,9133 | 5347 | 24137 | 22974 | 9055 | 56992 | 220134 | 332 | 3832 | 10403 | 259266 | 55143 | 9212 | 3833 | 4751 | 4605,IEA | IDA | IMP | IBA | ISS | NAS | TAS,4.0
"""The cell cycle process by which a cell commits to entering the next cell cycle phase."" [GOC:mtg_cell_cycle]",11154,20518,28,"[[""IDA"", ""IMP"", ""IBA""], [], [], [""IDA"", ""IBA"", ""IEA""], [], [], [], [], [], [""IDA"", ""IMP"", ""IBA"", ""NAS""], [], [], [], [], [], [""IBA"", ""IEA""], [""IDA"", ""IMP"", ""TAS""], [""IDA"", ""IEA""], [""IDA"", ""IBA"", ""NAS"", ""IEA""], [], [], [], [], [""IMP""], [], [], [], [], [], [], [], [""IDA"", ""ISS"", ""IBA"", ""IEA""], [""NAS""], [], [], [""IMP"", ""IBA"", ""NAS""], [], [], [], [""IDA""], [], [], [""IMP""], [""IDA"", ""IBA"", ""NAS"", ""IEA""], [], [], [""IMP""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""NAS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP"", ""IBA""], [], [], [], [], [], [], [], [], [], [], [], [""IMP"", ""NAS"", ""IEA""], [], [""NAS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""NAS""], [], [""IMP"", ""IBA"", ""TAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [""NAS""], [], [], [], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [], [""IDA"", ""ISS"", ""NAS""], [], [], [""TAS""], [], [""IDA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [], [], [], [], [], [], [], [], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [], [], [], []]",cell cycle phase transition,GO:0044770,3.681845549279656e-08,"[""GO:0022402""]",0.14,query_1,200,0.07017543859649122,True,GO:BP,399,10395,9,Belinostat,all_selected,11065 | 81620 | 1019 | 9133 | 5347 | 2305 | 890 | 11170 | 11130 | 57405 | 1063 | 6241 | 220134 | 4085 | 10460 | 332 | 9319 | 10403 | 5888 | 9787 | 699 | 55143 | 7272 | 9212 | 9833 | 5243 | 4303 | 993,IDA | IMP | IBA | IEA | NAS | TAS | ISS,5.0
"""The region of a chromosome that includes the centromeric DNA and associated proteins. In monocentric chromosomes, this region corresponds to a single area of the chromosome, whereas in holocentric chromosomes, it is evenly distributed along the chromosome."" [GOC:cjm, GOC:elh, GOC:kmv, GOC:pr]",11154,34752,20,"[[], [], [], [""IDA"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IBA"", ""IEA""], [], [], [], [], [], [], [], [], [""IDA"", ""IBA"", ""IEA""], [], [], [], [], [], [""IDA"", ""IBA"", ""NAS"", ""IEA""], [""IDA"", ""IPI"", ""IBA"", ""NAS"", ""IEA""], [], [], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [], [], [], [], [], [], [""IDA"", ""IPI"", ""IBA"", ""IEA""], [""IDA"", ""IBA"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IBA"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [""IPI"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IPI"", ""IBA"", ""TAS"", ""NAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [], [], [], [""IDA"", ""IBA"", ""IEA""], [], [], [], [], [], [], [], [], [], [""IDA"", ""IBA"", ""IEA""], [], [], [], [""IBA"", ""IEA""], [""IDA"", ""IPI"", ""TAS"", ""IEA""], [""IDA"", ""IBA"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IEA""], [], [], [], [""IBA"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]","chromosome, centromeric region",GO:0000775,8.684327269404255e-09,"[""GO:0098687""]",0.1,query_1,200,0.11235955056179775,True,GO:CC,178,83,4,Belinostat,all_selected,81620 | 5347 | 55355 | 11130 | 57405 | 1063 | 220134 | 4085 | 332 | 6839 | 79019 | 10403 | 7153 | 699 | 55143 | 7272 | 1058 | 9212 | 4751 | 11339,IDA | IEA | IBA | NAS | IPI | TAS,1.0
"""The region of a kinetochore most external to centromeric DNA; this outer region mediates kinetochore-microtubule interactions."" [GOC:clt, PMID:11483983]",11154,34799,7,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA""], [""IDA"", ""IPI"", ""IBA"", ""IEA""], [], [], [""IDA"", ""TAS""], [], [], [], [], [], [], [""IDA"", ""IBA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IPI"", ""IBA"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",outer kinetochore,GO:0000940,1.0224920191314025e-07,"[""GO:0000776"", ""GO:0032991""]",0.035,query_1,200,0.5384615384615384,True,GO:CC,13,130,4,Belinostat,all_selected,5347 | 11130 | 57405 | 1063 | 220134 | 10403 | 699,IDA | IPI | IBA | IEA | TAS,2.0
"""The array of microtubules and associated molecules that forms between opposite poles of a eukaryotic cell during mitosis or meiosis and serves to move the duplicated chromosomes apart."" [ISBN:0198547684]",11154,35027,24,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IBA"", ""IEA""], [], [], [], [""TAS"", ""IEA""], [""IDA"", ""IBA""], [], [], [], [], [], [], [], [], [""IDA"", ""ISS"", ""TAS"", ""IEA""], [], [], [], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [""IDA"", ""IBA"", ""IEA""], [], [""ISS"", ""IEA""], [""IDA"", ""IEA""], [], [], [], [""IDA"", ""IBA"", ""IEA""], [""IDA"", ""IEA""], [], [], [""IDA"", ""IEA""], [], [], [], [""IDA"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IBA"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IEA""], [""IDA"", ""IBA"", ""IEA""], [""IDA"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [""IBA"", ""IEA""], [], [""IDA"", ""IEA""], [], [""TAS""], [], [""IBA"", ""TAS"", ""IEA""], [], [], [], [""IBA"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""ISS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], []]",spindle,GO:0005819,1.0224920191314025e-07,"[""GO:0015630"", ""GO:0043232""]",0.12,query_1,200,0.07868852459016394,True,GO:CC,305,358,4,Belinostat,all_selected,5347 | 24137 | 146909 | 22974 | 9055 | 1063 | 56992 | 1894 | 220134 | 4085 | 10460 | 26586 | 332 | 3832 | 10112 | 9787 | 259266 | 55143 | 3161 | 7272 | 9212 | 3833 | 4751 | 51646,IDA | IBA | IEA | TAS | ISS,3.0
"""A structure composed of a very long molecule of DNA and associated proteins (e.g. histones) that carries hereditary information."" [ISBN:0198547684]",11154,34948,54,"[[], [], [], [""IDA"", ""IEA""], [""ISA""], [], [""IDA"", ""IPI"", ""HDA"", ""ISS"", ""TAS"", ""IEA""], [], [""IDA"", ""IPI"", ""IBA"", ""IEA""], [""IDA""], [], [], [], [], [], [], [""IDA"", ""IBA"", ""IEA""], [""ISA""], [], [], [""IEA""], [], [], [], [], [""IDA"", ""IBA"", ""IEA""], [], [""IDA"", ""ISO"", ""IBA"", ""NAS"", ""IEA""], [], [], [], [""IDA"", ""IBA"", ""NAS"", ""IEA""], [""IDA"", ""IPI"", ""IBA"", ""NAS"", ""IEA""], [], [""IEA""], [""IDA"", ""IBA"", ""TAS"", ""NAS"", ""IEA""], [""IDA"", ""IBA"", ""IEA""], [], [], [], [], [], [""IDA"", ""IPI"", ""IBA"", ""IEA""], [""IDA"", ""IBA"", ""IEA""], [], [], [], [""IDA"", ""HDA""], [], [], [], [""IPI"", ""ISS"", ""IBA"", ""IEA""], [], [], [""IPI"", ""HDA"", ""ISS"", ""TAS"", ""IEA""], [], [], [], [], [""IDA""], [], [], [], [], [], [], [], [], [""IDA"", ""IEA""], [""IDA"", ""IBA"", ""IEA""], [], [], [], [""ISA"", ""IBA""], [], [], [], [], [""ISA""], [""ISA""], [], [], [], [], [], [""IDA"", ""TAS"", ""IEA""], [""IPI"", ""IEA""], [""IBA""], [], [], [], [""ISS"", ""IEA""], [], [], [], [], [], [""ISA""], [], [""IDA"", ""IPI"", ""IBA"", ""TAS"", ""NAS"", ""IEA""], [], [""IDA"", ""ISS"", ""IBA"", ""IEA""], [], [], [], [], [], [], [""IDA"", ""IPI"", ""IBA"", ""IEA""], [], [], [], [], [], [""ISA""], [], [""IEA""], [], [], [], [], [], [""IEA""], [], [], [], [], [], [""IDA"", ""IEA""], [], [], [], [""IDA"", ""IBA"", ""IEA""], [], [], [], [], [], [""IDA""], [], [], [], [""IDA"", ""IBA"", ""IEA""], [], [], [""IDA"", ""IEA""], [""IBA"", ""IEA""], [""IDA"", ""IPI"", ""TAS"", ""IEA""], [""IDA"", ""IBA"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [""NAS""], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IPI"", ""IBA"", ""IEA""], [""IDA""], [""IDA"", ""IEA""], [], [], [], [""IDA"", ""IBA"", ""IEA""], [], [], [], [""IDA"", ""ISS"", ""IEA""], [""ISA""], [], [], [], [""ISA""], [], [], [], [], [], [], [], [], [], [], [], [""ISA""], []]",chromosome,GO:0005694,4.482942478754822e-07,"[""GO:0043232""]",0.27,query_1,200,0.03967670830271859,True,GO:CC,1361,279,4,Belinostat,all_selected,81620 | 8013 | 4171 | 5427 | 1019 | 5347 | 2305 | 24137 | 55355 | 23397 | 11130 | 57405 | 9055 | 1063 | 4288 | 220134 | 4085 | 2237 | 9837 | 4176 | 5901 | 8099 | 332 | 4306 | 2354 | 6943 | 6839 | 79019 | 9319 | 10370 | 6304 | 10403 | 5888 | 5984 | 4929 | 90865 | 57658 | 7153 | 699 | 79228 | 55143 | 23481 | 7272 | 1058 | 9212 | 55215 | 23649 | 8568 | 4751 | 11339 | 8091 | 23051 | 4303 | 26959,IDA | IEA | ISA | IPI | HDA | ISS | TAS | IBA | ISO | NAS,4.0
"""A thin cytoplasmic bridge formed between daughter cells at the end of cytokinesis. The midbody forms where the contractile ring constricts, and may persist for some time before finally breaking to complete cytokinesis."" [ISBN:0815316194]",11154,35588,13,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IEA""], [], [], [], [""IDA"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IEA""], [""IDA""], [], [], [""IDA"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA""], [], [], [], [], [], [], [], [], [], [""IDA"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA""], [], [""IEA""], [], [], [], [], [], [], [], [], [], [], [""IDA""], [], [], [], [], [], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""ISS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], []]",midbody,GO:0030496,9.416009175266671e-05,"[""GO:0110165""]",0.065,query_1,200,0.08666666666666667,True,GO:CC,150,919,5,Belinostat,all_selected,5347 | 24137 | 9055 | 1063 | 1894 | 5901 | 332 | 10112 | 259266 | 55143 | 9212 | 4751 | 51646,IDA | IEA | IBA | TAS | ISS,5.0
