candidate,candidate_role,split,candidate_canonical_smiles,candidate_murcko_scaffold,train_signatures,test_signatures,training_unique_structures,max_tanimoto,mean_top10_tanimoto,exact_structure_in_train,candidate_scaffold_in_train,same_scaffold_training_structures,neighbors_ge_0_7,neighbors_ge_0_8,neighbors_ge_0_9,name_conflict,role
Mocetinostat,core_candidate,hdac_class_holdout,Nc1ccccc1NC(=O)c1ccc(CNc2nccc(-c3cccnc3)n2)cc1,O=C(Nc1ccccc1)c1ccc(CNc2nccc(-c3cccnc3)n2)cc1,0,14,11415,0.5370370370370371,0.4468554062051342,False,False,0,0,0,0,False,core candidate
TC-H-106,original_method_sensitive,hdac_class_holdout,Cc1ccc(NC(=O)CCCCCC(=O)Nc2ccccc2N)cc1,O=C(CCCCCC(=O)Nc1ccccc1)Nc1ccccc1,0,6,11415,0.7894736842105263,0.4376728586171311,False,False,0,1,0,0,False,exploratory / original-method-sensitive
NCH-51,secondary_candidate,hdac_class_holdout,CC(C)C(=O)SCCCCCCC(=O)Nc1nc(-c2ccccc2)cs1,c1ccc(-c2cscn2)cc1,0,17,11415,0.4307692307692308,0.3659884463569641,False,True,1,0,0,0,False,secondary candidate
Belinostat,class_support,hdac_class_holdout,O=C(C=Cc1cccc(S(=O)(=O)Nc2ccccc2)c1)NO,O=S(=O)(Nc1ccccc1)c1ccccc1,0,24,11415,0.5,0.3394953416464233,False,True,8,0,0,0,False,class support
PCI-24781,class_support,hdac_class_holdout,CN(C)Cc1c(C(=O)NCCOc2ccc(C(=O)NO)cc2)oc2ccccc12,O=C(NCCOc1ccccc1)c1cc2ccccc2o1,0,19,11415,0.4096385542168674,0.3167716550265005,False,False,0,0,0,0,False,class support
Panobinostat,class_support,hdac_class_holdout,Cc1[nH]c2ccccc2c1CCNCc1ccc(C=CC(=O)NO)cc1,c1ccc(CNCCc2c[nH]c3ccccc23)cc1,0,126,11415,0.3809523809523809,0.31518171682611,False,True,1,0,0,0,False,class support
Entinostat,reference_control,hdac_class_holdout,Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1,O=C(NCc1ccc(C(=O)Nc2ccccc2)cc1)OCc1cccnc1,0,101,11415,0.5576923076923077,0.4287911791783892,False,False,0,0,0,0,False,reference control
Vorinostat,reference_control,hdac_class_holdout,O=C(CCCCCCC(=O)Nc1ccccc1)NO,c1ccccc1,0,899,11415,0.696969696969697,0.503472388189274,False,True,296,0,0,0,False,reference control
RG2833,prediction_only,hdac_class_holdout,Cc1ccc(C(=O)NCCCCCC(=O)Nc2ccccc2N)cc1,O=C(CCCCCNC(=O)c1ccccc1)Nc1ccccc1,0,0,11415,0.574468085106383,0.4073072750279037,False,False,0,0,0,0,False,prediction only
Tianeptinaline_or_BG-1010,identity_conflict_excluded,hdac_class_holdout,CN1c2ccccc2C(NCCCCCCC(=O)Nc2ccccc2N)c2ccc(Cl)cc2S1(=O)=O,O=C(CCCCCCNC1c2ccccc2NS(=O)(=O)c2ccccc21)Nc1ccccc1,6,0,11415,1.0,0.5078259542583217,True,True,1,3,1,1,True,identity conflict; excluded
