record_type,file,candidate,gene_set_scope,sha256,mapped_query_ids,reported_terms,gprofiler_version,timestamp,full_terms,representative_terms,intersection_count_gate,alignment_source,evidence_code_policy
frozen_response,gost_belinostat_all_selected.json,Belinostat,all_selected,2706eb53979052bd1b874e8c6e1356c2e770832718ee4a59d2b20f064829cced,200,267,e114_eg62_p19_27110d83,2026-07-18T12:13:48.327987+00:00,5037,311,all derived gene counts equal g:Profiler intersection_size,meta.genes_metadata.query.<query>.mapping key order,GO evidence codes are retained separately as intersection_evidence_codes and are never labelled as genes.
frozen_response,gost_belinostat_disease_down_drug_up.json,Belinostat,disease_down_drug_up,ff566b8835b5e9027e35927808aec48a3e7290f2949552bdf5ccb0a66a1d5084,105,7,e114_eg62_p19_27110d83,2026-07-18T12:13:54.567682+00:00,5037,311,all derived gene counts equal g:Profiler intersection_size,meta.genes_metadata.query.<query>.mapping key order,GO evidence codes are retained separately as intersection_evidence_codes and are never labelled as genes.
frozen_response,gost_belinostat_disease_up_drug_down.json,Belinostat,disease_up_drug_down,453a8584209f75c67d7f04f28632d732e60b12a0648ef0c5c34ba870318ecdfb,95,522,e114_eg62_p19_27110d83,2026-07-18T12:13:51.898766+00:00,5037,311,all derived gene counts equal g:Profiler intersection_size,meta.genes_metadata.query.<query>.mapping key order,GO evidence codes are retained separately as intersection_evidence_codes and are never labelled as genes.
frozen_response,gost_entinostat_all_selected.json,Entinostat,all_selected,cb5444d622a55d682113a6da1b888dc42aaeb666b1528b71e3249f58b26464b5,199,367,e114_eg62_p19_27110d83,2026-07-18T12:13:56.495974+00:00,5037,311,all derived gene counts equal g:Profiler intersection_size,meta.genes_metadata.query.<query>.mapping key order,GO evidence codes are retained separately as intersection_evidence_codes and are never labelled as genes.
frozen_response,gost_entinostat_disease_down_drug_up.json,Entinostat,disease_down_drug_up,54653634fafe47ac30df15e941e9e0b8c28229eae01bd45c1c94a707f2fc387a,81,26,e114_eg62_p19_27110d83,2026-07-18T12:14:03.414396+00:00,5037,311,all derived gene counts equal g:Profiler intersection_size,meta.genes_metadata.query.<query>.mapping key order,GO evidence codes are retained separately as intersection_evidence_codes and are never labelled as genes.
frozen_response,gost_entinostat_disease_up_drug_down.json,Entinostat,disease_up_drug_down,1987ff91526455cdf506fb6c4642f38bf31c8f69f1d4bcd996337deb978bca7c,118,653,e114_eg62_p19_27110d83,2026-07-18T12:14:00.355032+00:00,5037,311,all derived gene counts equal g:Profiler intersection_size,meta.genes_metadata.query.<query>.mapping key order,GO evidence codes are retained separately as intersection_evidence_codes and are never labelled as genes.
frozen_response,gost_mocetinostat_all_selected.json,Mocetinostat,all_selected,5b2c3aca61d5b1ec0e17c5e6a553d75a636105cd8514df5234ba795f56f8d434,199,248,e114_eg62_p19_27110d83,2026-07-18T12:13:21.532704+00:00,5037,311,all derived gene counts equal g:Profiler intersection_size,meta.genes_metadata.query.<query>.mapping key order,GO evidence codes are retained separately as intersection_evidence_codes and are never labelled as genes.
frozen_response,gost_mocetinostat_disease_down_drug_up.json,Mocetinostat,disease_down_drug_up,7385b2baa52c8f6f5fc59bd35bc4fad2b4e83b07ce300d340b5060034bbef4c1,122,110,e114_eg62_p19_27110d83,2026-07-18T12:13:28.716516+00:00,5037,311,all derived gene counts equal g:Profiler intersection_size,meta.genes_metadata.query.<query>.mapping key order,GO evidence codes are retained separately as intersection_evidence_codes and are never labelled as genes.
frozen_response,gost_mocetinostat_disease_up_drug_down.json,Mocetinostat,disease_up_drug_down,f3712329f51314bf149f65890f7e1486eac937a100697703d67a316cd59c2156,77,575,e114_eg62_p19_27110d83,2026-07-18T12:13:25.224543+00:00,5037,311,all derived gene counts equal g:Profiler intersection_size,meta.genes_metadata.query.<query>.mapping key order,GO evidence codes are retained separately as intersection_evidence_codes and are never labelled as genes.
frozen_response,gost_nch_51_all_selected.json,NCH-51,all_selected,85232c27223b9baa879bcc3f5c2777a7ef72f0923e415dd3eae5cea5f17d09ef,200,272,e114_eg62_p19_27110d83,2026-07-18T12:13:30.828807+00:00,5037,311,all derived gene counts equal g:Profiler intersection_size,meta.genes_metadata.query.<query>.mapping key order,GO evidence codes are retained separately as intersection_evidence_codes and are never labelled as genes.
