candidate,candidate_role,quality_set,metric,cancers,signatures,official_cell_lines,median_across_cancers,mean_across_cancers,positive_cancer_fraction,cancer_score_q25,cancer_score_q75
Belinostat,class_support,hiq,signed_wtrs,22,12,6,0.13977235625,0.1464416232181818,0.9545454545454546,0.10460081625,0.200369457625
Belinostat,class_support,hiq,spearman_reversal,22,12,6,0.057690614625,0.0658047616308522,0.9545454545454546,0.03722280584375,0.0915443328125
Entinostat,reference_control,hiq,signed_wtrs,22,67,10,0.08235560075,0.0731558352989772,0.9545454545454546,0.041474017625,0.10057940925
Entinostat,reference_control,hiq,spearman_reversal,22,67,10,0.08156430875,0.0686380452443181,0.9545454545454546,0.037890464125,0.0996015155625
Mocetinostat,core_candidate,hiq,signed_wtrs,22,8,8,0.26235902,0.2305607453863636,0.9545454545454546,0.17191282625,0.31596557
Mocetinostat,core_candidate,hiq,spearman_reversal,22,8,8,0.136700965,0.1127610929090909,0.9545454545454546,0.0882540705,0.15136436125
NCH-51,secondary_candidate,hiq,signed_wtrs,22,8,8,0.193716255,0.1991612479545454,0.9545454545454546,0.1443496725,0.2494684775
NCH-51,secondary_candidate,hiq,spearman_reversal,22,8,8,0.103226754,0.1058818080909091,0.9545454545454546,0.068176546125,0.13272418125
PCI-24781,class_support,hiq,signed_wtrs,22,13,10,0.139432875,0.1563038655568182,0.9545454545454546,0.11056173,0.21107369
PCI-24781,class_support,hiq,spearman_reversal,22,13,10,0.0752772334999999,0.0810965656931818,0.9545454545454546,0.0565168139374999,0.1065949387499999
Panobinostat,class_support,hiq,signed_wtrs,22,84,10,0.191119295,0.1770548381079545,0.9545454545454546,0.1515896890624999,0.2242212046875
Panobinostat,class_support,hiq,spearman_reversal,22,84,10,0.06077410225,0.0610728603068181,0.9545454545454546,0.034959923,0.0951634811875
TC-H-106,original_method_sensitive,hiq,signed_wtrs,22,4,4,0.1186210725,0.1066677197727272,0.9090909090909092,0.08078159525,0.1600451082499999
TC-H-106,original_method_sensitive,hiq,spearman_reversal,22,4,4,0.11320432,0.1004390985409091,0.9090909090909092,0.0705455725,0.158390805
Vorinostat,reference_control,hiq,signed_wtrs,22,487,35,0.0540191235,0.0724997125227272,0.9545454545454546,0.0355871515,0.12198771125
Vorinostat,reference_control,hiq,spearman_reversal,22,487,35,0.0431597965,0.0521770598522727,0.9545454545454546,0.023707711375,0.0795244605
