candidate,gene_set_scope,source,significant_terms_fdr_lt_0_05
Belinostat,all_selected,GO:BP,167
Belinostat,all_selected,GO:CC,44
Belinostat,all_selected,GO:MF,4
Belinostat,all_selected,KEGG,2
Belinostat,all_selected,REAC,50
Belinostat,disease_down_drug_up,GO:BP,7
Belinostat,disease_up_drug_down,GO:BP,272
Belinostat,disease_up_drug_down,GO:CC,75
Belinostat,disease_up_drug_down,GO:MF,68
Belinostat,disease_up_drug_down,KEGG,7
Belinostat,disease_up_drug_down,REAC,100
Entinostat,all_selected,GO:BP,182
Entinostat,all_selected,GO:CC,56
Entinostat,all_selected,GO:MF,31
Entinostat,all_selected,KEGG,5
Entinostat,all_selected,REAC,93
Entinostat,disease_down_drug_up,GO:BP,7
Entinostat,disease_down_drug_up,GO:CC,17
Entinostat,disease_down_drug_up,KEGG,1
Entinostat,disease_down_drug_up,REAC,1
Entinostat,disease_up_drug_down,GO:BP,281
Entinostat,disease_up_drug_down,GO:CC,111
Entinostat,disease_up_drug_down,GO:MF,106
Entinostat,disease_up_drug_down,KEGG,9
Entinostat,disease_up_drug_down,REAC,146
Mocetinostat,all_selected,GO:BP,163
Mocetinostat,all_selected,GO:CC,30
Mocetinostat,all_selected,GO:MF,2
Mocetinostat,all_selected,KEGG,2
Mocetinostat,all_selected,REAC,51
Mocetinostat,disease_down_drug_up,GO:BP,88
Mocetinostat,disease_down_drug_up,GO:CC,13
Mocetinostat,disease_down_drug_up,REAC,9
Mocetinostat,disease_up_drug_down,GO:BP,272
Mocetinostat,disease_up_drug_down,GO:CC,88
Mocetinostat,disease_up_drug_down,GO:MF,30
Mocetinostat,disease_up_drug_down,KEGG,7
Mocetinostat,disease_up_drug_down,REAC,178
NCH-51,all_selected,GO:BP,173
NCH-51,all_selected,GO:CC,44
NCH-51,all_selected,GO:MF,4
NCH-51,all_selected,KEGG,4
NCH-51,all_selected,REAC,47
NCH-51,disease_down_drug_up,GO:CC,3
NCH-51,disease_down_drug_up,KEGG,1
NCH-51,disease_down_drug_up,REAC,1
NCH-51,disease_up_drug_down,GO:BP,302
NCH-51,disease_up_drug_down,GO:CC,91
NCH-51,disease_up_drug_down,GO:MF,69
NCH-51,disease_up_drug_down,KEGG,11
NCH-51,disease_up_drug_down,REAC,102
TC-H-106,all_selected,GO:BP,12
TC-H-106,all_selected,GO:CC,36
TC-H-106,all_selected,REAC,4
TC-H-106,disease_down_drug_up,GO:BP,21
TC-H-106,disease_down_drug_up,GO:CC,13
TC-H-106,disease_down_drug_up,KEGG,1
TC-H-106,disease_up_drug_down,GO:BP,181
TC-H-106,disease_up_drug_down,GO:CC,83
TC-H-106,disease_up_drug_down,GO:MF,3
TC-H-106,disease_up_drug_down,KEGG,3
TC-H-106,disease_up_drug_down,REAC,66
Vorinostat,all_selected,GO:BP,211
Vorinostat,all_selected,GO:CC,69
Vorinostat,all_selected,GO:MF,42
Vorinostat,all_selected,KEGG,5
Vorinostat,all_selected,REAC,61
Vorinostat,disease_down_drug_up,GO:BP,12
Vorinostat,disease_down_drug_up,GO:MF,9
Vorinostat,disease_up_drug_down,GO:BP,288
Vorinostat,disease_up_drug_down,GO:CC,93
Vorinostat,disease_up_drug_down,GO:MF,61
Vorinostat,disease_up_drug_down,KEGG,12
Vorinostat,disease_up_drug_down,REAC,124
