rank,Mocetinostat,NCH-51,TC-H-106,Belinostat,Entinostat,Vorinostat
1,BIRC5,UBE2C,ADH1B,UBE2C,PDK4,ATP1B2
2,TCF21,TCF21,CES1,RGN,AKAP12,FBLN5
3,LYVE1,GPX3,BIRC5,ATP1B2,TEK,CDT1
4,FOSB,FOSB,CHRDL1,CDT1,XPNPEP2,MCM2
5,TEK,LYVE1,UBE2C,NR4A3,FBLN5,LMNB2
6,NR4A3,ATP1B2,MYLK,PTGDS,CDK4,GPX3
7,GINS2,MCM2,PDK4,MCM2,FOXM1,CLN6
8,RAD51,AOX1,AOX1,FBLN5,CDCA8,TCF21
9,PLK1,LIFR,GINS2,POLE2,FAM107A,FOXM1
10,CCNA2,CCDC69,CDT1,CDK4,LEPR,CCNB2
11,GPM6A,RGN,ABCA8,LMNB2,RAD51AP1,KIF4A
12,HBB,PDGFRA,CLEC3B,TRIB3,CCDC86,AKAP12
13,BUB1,TXNIP,PDGFRA,DNAJB4,FEN1,TTK
14,MCM10,CENPM,FOSB,ZNF331,DNAJC9,NCAPH
15,HJURP,CDT1,AQP7,SLC25A20,ADH1B,ZNF282
16,TPX2,CCNB2,PRELP,CCNB2,BIRC5,SPC25
17,CDCA3,KIF20A,AKAP12,PLK1,UBE2C,TRIB3
18,ASF1B,PLK1,AOC3,FOXM1,CHRDL1,ECT2
19,KCNK3,CCNA2,FMO2,CCNA2,CES1,PLK1
20,CKAP2,FOXM1,PRKAR2B,GTSE1,GPX3,CDK4
