metric,metric_role,annotation_definition,top_fraction,top_k,library_compounds,library_annotated,observed_annotated,expected_annotated,fold_enrichment,fisher_odds_ratio,conditional_odds_ratio,conditional_or_ci95_low,conditional_or_ci95_high,fisher_one_sided_p,fdr_bh_all_24_tests,fdr_bh_within_metric_definition,ranking_source,included_splits,included_models,included_seeds,screening_runs,cancers,run_cancer_observations_per_compound,aggregation_definition,cutoff_status
legacy_wtrs,sensitivity,annotation_defined_HDAC,0.005,143,28477,39,2,0.1958422586648874,10.212300519992828,10.847996933103316,10.84446305720014,1.2543605821201549,42.749591746401016,0.0164327759882473,0.024649163982371,0.0164327759882473,cross_generalization_mean_rank_fraction_0_strongest,leave_drug_out | leave_cell_line_out | scaffold_split | hdac_class_holdout,dual_stream | fingerprint_mlp,1 | 2 | 3,24,22,528,Rank compounds within each run and cancer; convert to a within-library rank fraction (0 = strongest); average all 528 run-cancer rank fractions equally within metric; ascending mean rank fraction defines consensus rank.,fixed_for_revision_not_prospectively_preregistered
legacy_wtrs,sensitivity,annotation_defined_HDAC,0.01,285,28477,39,4,0.390314991045405,10.248133153396312,11.451753940010168,11.44798781495544,2.936052099508061,32.32988094241671,0.0006132033988385,0.0010512058265803,0.0008176045317847,cross_generalization_mean_rank_fraction_0_strongest,leave_drug_out | leave_cell_line_out | scaffold_split | hdac_class_holdout,dual_stream | fingerprint_mlp,1 | 2 | 3,24,22,528,Rank compounds within each run and cancer; convert to a within-library rank fraction (0 = strongest); average all 528 run-cancer rank fractions equally within metric; ascending mean rank fraction defines consensus rank.,fixed_for_revision_not_prospectively_preregistered
legacy_wtrs,sensitivity,annotation_defined_HDAC,0.05,1424,28477,39,11,1.950205428942656,5.640431431864016,7.513775149125467,7.512482589007785,3.367778072126484,15.604514901342412,2.156237698653379e-06,9.868275801207211e-06,8.624950794613517e-06,cross_generalization_mean_rank_fraction_0_strongest,leave_drug_out | leave_cell_line_out | scaffold_split | hdac_class_holdout,dual_stream | fingerprint_mlp,1 | 2 | 3,24,22,528,Rank compounds within each run and cancer; convert to a within-library rank fraction (0 = strongest); average all 528 run-cancer rank fractions equally within metric; ascending mean rank fraction defines consensus rank.,fixed_for_revision_not_prospectively_preregistered
legacy_wtrs,sensitivity,annotation_defined_HDAC,0.1,2848,28477,39,14,3.900410857885311,3.589365456640737,5.059364855328158,5.0588524884184825,2.4279577400868613,10.127229190890676,1.2999296433818724e-05,3.466479049018327e-05,2.599859286763745e-05,cross_generalization_mean_rank_fraction_0_strongest,leave_drug_out | leave_cell_line_out | scaffold_split | hdac_class_holdout,dual_stream | fingerprint_mlp,1 | 2 | 3,24,22,528,Rank compounds within each run and cancer; convert to a within-library rank fraction (0 = strongest); average all 528 run-cancer rank fractions equally within metric; ascending mean rank fraction defines consensus rank.,fixed_for_revision_not_prospectively_preregistered
legacy_wtrs,sensitivity,explicit_class_I_target,0.005,143,28477,26,2,0.1305615057765916,15.31845077998924,16.731678486997637,16.72320784829078,1.8979631280084992,68.43523948784797,0.007520114380284,0.0120321830084544,0.007520114380284,cross_generalization_mean_rank_fraction_0_strongest,leave_drug_out | leave_cell_line_out | scaffold_split | hdac_class_holdout,dual_stream | fingerprint_mlp,1 | 2 | 3,24,22,528,Rank compounds within each run and cancer; convert to a within-library rank fraction (0 = strongest); average all 528 run-cancer rank fractions equally within metric; ascending mean rank fraction defines consensus rank.,fixed_for_revision_not_prospectively_preregistered
legacy_wtrs,sensitivity,explicit_class_I_target,0.01,285,28477,26,4,0.26020999403027,15.372199730094463,18.22711096732449,18.217793328595725,4.534444421277781,54.12714533116781,0.0001234426707384,0.0002278941613632,0.0001645902276512,cross_generalization_mean_rank_fraction_0_strongest,leave_drug_out | leave_cell_line_out | scaffold_split | hdac_class_holdout,dual_stream | fingerprint_mlp,1 | 2 | 3,24,22,528,Rank compounds within each run and cancer; convert to a within-library rank fraction (0 = strongest); average all 528 run-cancer rank fractions equally within metric; ascending mean rank fraction defines consensus rank.,fixed_for_revision_not_prospectively_preregistered
legacy_wtrs,sensitivity,explicit_class_I_target,0.05,1424,28477,26,10,1.300136952628437,7.691497407087295,11.950583451202265,11.94761869683173,4.837441964603888,28.06064627071364,2.41083740122652e-07,2.893004881471824e-06,9.64334960490608e-07,cross_generalization_mean_rank_fraction_0_strongest,leave_drug_out | leave_cell_line_out | scaffold_split | hdac_class_holdout,dual_stream | fingerprint_mlp,1 | 2 | 3,24,22,528,Rank compounds within each run and cancer; convert to a within-library rank fraction (0 = strongest); average all 528 run-cancer rank fractions equally within metric; ascending mean rank fraction defines consensus rank.,fixed_for_revision_not_prospectively_preregistered
legacy_wtrs,sensitivity,explicit_class_I_target,0.1,2848,28477,26,12,2.600273905256874,4.614898444252377,7.741789240378803,7.74069490391578,3.267114905777488,18.05089827425877,2.467068950301803e-06,9.868275801207211e-06,4.934137900603606e-06,cross_generalization_mean_rank_fraction_0_strongest,leave_drug_out | leave_cell_line_out | scaffold_split | hdac_class_holdout,dual_stream | fingerprint_mlp,1 | 2 | 3,24,22,528,Rank compounds within each run and cancer; convert to a within-library rank fraction (0 = strongest); average all 528 run-cancer rank fractions equally within metric; ascending mean rank fraction defines consensus rank.,fixed_for_revision_not_prospectively_preregistered
signed_wtrs,primary,annotation_defined_HDAC,0.005,143,28477,39,4,0.1958422586648874,20.424601039985657,23.267420349434737,23.2514068050089,5.923736162331844,66.31369156224652,4.374058989010734e-05,9.543401430568874e-05,5.832078652014312e-05,cross_generalization_mean_rank_fraction_0_strongest,leave_drug_out | leave_cell_line_out | scaffold_split | hdac_class_holdout,dual_stream | fingerprint_mlp,1 | 2 | 3,24,22,528,Rank compounds within each run and cancer; convert to a within-library rank fraction (0 = strongest); average all 528 run-cancer rank fractions equally within metric; ascending mean rank fraction defines consensus rank.,fixed_for_revision_not_prospectively_preregistered
signed_wtrs,primary,annotation_defined_HDAC,0.01,285,28477,39,5,0.390314991045405,12.81016644174539,14.788865546218489,14.782650052071988,4.48001925736002,38.38654062965647,4.224164547000511e-05,9.543401430568874e-05,5.832078652014312e-05,cross_generalization_mean_rank_fraction_0_strongest,leave_drug_out | leave_cell_line_out | scaffold_split | hdac_class_holdout,dual_stream | fingerprint_mlp,1 | 2 | 3,24,22,528,Rank compounds within each run and cancer; convert to a within-library rank fraction (0 = strongest); average all 528 run-cancer rank fractions equally within metric; ascending mean rank fraction defines consensus rank.,fixed_for_revision_not_prospectively_preregistered
signed_wtrs,primary,annotation_defined_HDAC,0.05,1424,28477,39,11,1.950205428942656,5.640431431864016,7.513775149125467,7.512482589007785,3.367778072126484,15.604514901342412,2.156237698653379e-06,9.868275801207211e-06,8.624950794613517e-06,cross_generalization_mean_rank_fraction_0_strongest,leave_drug_out | leave_cell_line_out | scaffold_split | hdac_class_holdout,dual_stream | fingerprint_mlp,1 | 2 | 3,24,22,528,Rank compounds within each run and cancer; convert to a within-library rank fraction (0 = strongest); average all 528 run-cancer rank fractions equally within metric; ascending mean rank fraction defines consensus rank.,fixed_for_revision_not_prospectively_preregistered
