candidate,gene_set_scope,source,native,name,p_value,significant,query_size,term_size,intersection_size,effective_domain_size,precision,recall,intersection_genes,intersection_evidence_codes
Belinostat,all_selected,GO:BP,GO:0000070,mitotic sister chromatid segregation,2.797062957210076e-17,True,200,142,27,11154,0.135,0.1901408450704225,11065 | 81620 | 5347 | 24137 | 146909 | 23397 | 22974 | 11130 | 57405 | 9055 | 1063 | 56992 | 220134 | 4085 | 5901 | 332 | 9319 | 3832 | 10403 | 9787 | 699 | 55143 | 7272 | 9212 | 3833 | 4751 | 4605,IDA | IMP | TAS | IBA | IEA | NAS | ISS
Belinostat,all_selected,GO:BP,GO:0007059,chromosome segregation,2.797062957210076e-17,True,200,294,36,11154,0.18,0.1224489795918367,11065 | 81620 | 9133 | 5347 | 24137 | 146909 | 55355 | 23397 | 22974 | 11130 | 57405 | 9055 | 1063 | 4288 | 56992 | 1894 | 220134 | 4085 | 10460 | 5901 | 332 | 79019 | 9319 | 3832 | 10403 | 7153 | 9787 | 259266 | 699 | 55143 | 7272 | 9212 | 3833 | 4751 | 4605 | 11339,IDA | IBA | IMP | IEA | TAS | ISO | ISS | NAS
Belinostat,all_selected,GO:BP,GO:0098813,nuclear chromosome segregation,2.797062957210076e-17,True,200,221,32,11154,0.16,0.1447963800904977,11065 | 81620 | 9133 | 5347 | 24137 | 146909 | 23397 | 22974 | 11130 | 57405 | 9055 | 1063 | 56992 | 1894 | 220134 | 4085 | 10460 | 5901 | 332 | 9319 | 3832 | 10403 | 7153 | 9787 | 259266 | 699 | 55143 | 7272 | 9212 | 3833 | 4751 | 4605,IDA | IBA | IMP | IEA | TAS | ISS | NAS
Belinostat,all_selected,GO:BP,GO:0000819,sister chromatid segregation,2.916866439659948e-17,True,200,175,29,11154,0.145,0.1657142857142857,11065 | 81620 | 5347 | 24137 | 146909 | 23397 | 22974 | 11130 | 57405 | 9055 | 1063 | 56992 | 220134 | 4085 | 10460 | 5901 | 332 | 9319 | 3832 | 10403 | 7153 | 9787 | 699 | 55143 | 7272 | 9212 | 3833 | 4751 | 4605,IDA | IBA | IMP | TAS | IEA | ISS | NAS
Belinostat,all_selected,REAC,REAC:R-HSA-1640170,Cell Cycle,3.6013560161679704e-17,True,200,505,45,11154,0.225,0.0891089108910891,11065 | 81620 | 4171 | 5427 | 1019 | 9133 | 5347 | 2305 | 890 | 51512 | 55355 | 23397 | 22974 | 11130 | 57405 | 1063 | 6241 | 220134 | 4085 | 2237 | 9837 | 4176 | 5901 | 7298 | 332 | 4001 | 79019 | 5577 | 10403 | 5888 | 5984 | 23345 | 3978 | 7153 | 10112 | 699 | 55143 | 3161 | 1058 | 9212 | 23649 | 4751 | 4605 | 11339 | 993,REAC
Belinostat,all_selected,REAC,REAC:R-HSA-69278,"Cell Cycle, Mitotic",3.6013560161679704e-17,True,200,405,41,11154,0.205,0.1012345679012345,11065 | 81620 | 4171 | 5427 | 1019 | 9133 | 5347 | 2305 | 890 | 51512 | 23397 | 22974 | 11130 | 57405 | 1063 | 6241 | 220134 | 4085 | 2237 | 9837 | 4176 | 5901 | 7298 | 332 | 4001 | 79019 | 5577 | 10403 | 5984 | 3978 | 7153 | 10112 | 699 | 55143 | 3161 | 1058 | 9212 | 23649 | 4751 | 4605 | 993,REAC
Belinostat,all_selected,GO:BP,GO:1903047,mitotic cell cycle process,2.0099964334319464e-16,True,200,568,47,11154,0.235,0.0827464788732394,11065 | 81620 | 4171 | 1019 | 9133 | 5347 | 2305 | 890 | 24137 | 146909 | 11170 | 23397 | 22974 | 11130 | 57405 | 9055 | 1063 | 4288 | 56992 | 1894 | 6241 | 220134 | 4085 | 10460 | 26586 | 9837 | 5901 | 332 | 9319 | 3832 | 10403 | 5888 | 3978 | 10112 | 9787 | 699 | 55143 | 7272 | 1058 | 9212 | 9833 | 3833 | 5243 | 4751 | 4605 | 4303 | 993,IDA | IMP | IBA | NAS | IEA | TAS | ISS | IGI
Belinostat,all_selected,GO:BP,GO:0051301,cell division,2.1792675115483313e-14,True,200,460,40,11154,0.2,0.0869565217391304,11065 | 81620 | 1019 | 9133 | 5347 | 890 | 24137 | 146909 | 23397 | 22974 | 11130 | 57405 | 9055 | 1063 | 1894 | 220134 | 4085 | 4192 | 10460 | 26586 | 5901 | 332 | 3832 | 10403 | 10628 | 3068 | 3978 | 7153 | 10112 | 259266 | 699 | 83461 | 55143 | 1058 | 9212 | 3833 | 4751 | 11339 | 8091 | 993,IEA | IDA | IMP | TAS | IBA | IGI | NAS | ISS
Belinostat,all_selected,GO:BP,GO:0140014,mitotic nuclear division,2.992381266052048e-14,True,200,210,28,11154,0.14,0.1333333333333333,11065 | 81620 | 5347 | 24137 | 146909 | 23397 | 22974 | 11130 | 57405 | 9055 | 1063 | 4288 | 56992 | 220134 | 4085 | 5901 | 332 | 9319 | 3832 | 10403 | 9787 | 699 | 55143 | 7272 | 9212 | 3833 | 4751 | 4605,IDA | IMP | TAS | IBA | IEA | NAS | ISS
Belinostat,all_selected,GO:BP,GO:0000278,mitotic cell cycle,3.649332453749869e-14,True,200,682,48,11154,0.24,0.0703812316715542,11065 | 81620 | 4171 | 1019 | 9133 | 5347 | 2305 | 890 | 24137 | 146909 | 11170 | 23397 | 22974 | 11130 | 57405 | 9055 | 1063 | 4288 | 56992 | 1894 | 6241 | 220134 | 4085 | 10460 | 26586 | 9837 | 5901 | 332 | 9319 | 3832 | 10403 | 5888 | 3978 | 10112 | 9787 | 699 | 55143 | 7272 | 1058 | 9212 | 9833 | 3833 | 5243 | 3082 | 4751 | 4605 | 4303 | 993,IDA | IMP | IBA | NAS | IEA | TAS | ISS | IGI
