split,metric,seeds,advantage_dual_mean,advantage_dual_sd,advantage_dual_ci95_low,advantage_dual_ci95_high,orientation
Pair,MSE,5,-0.0014387799416033,0.0058010108696061,-0.008641686291582,0.0057641264083753,positive values favor dual_stream
Pair,MAE,5,-0.000997158818554,0.0029953298834607,-0.004716352097591,0.002722034460483,positive values favor dual_stream
Pair,R2,5,-0.0014542670627061,0.0058634533288443,-0.0087347059662801,0.0058261718408678,positive values favor dual_stream
Pair,Pearson,5,-0.0033765942776221,0.010971084350354,-0.0169989947367134,0.0102458061814691,positive values favor dual_stream
Pair,Spearman,5,-0.0034208111102642,0.0114247964505825,-0.0176065695497587,0.0107649473292301,positive values favor dual_stream
Leave drug,MSE,3,-0.0007741082533517,0.0021789711616222,-0.006186972688754,0.0046387561820506,positive values favor dual_stream
Leave drug,MAE,3,-0.0015170393711652,0.0012256626421679,-0.0045617541624581,0.0015276754201276,positive values favor dual_stream
Leave drug,R2,3,-0.0007985335972496,0.0022477239745989,-0.0063821894881563,0.004785122293657,positive values favor dual_stream
Leave drug,Pearson,3,-0.0034097521839197,0.0037658480065729,-0.0127646372337674,0.0059451328659279,positive values favor dual_stream
Leave drug,Spearman,3,-0.0038058678875199,0.003589578016964,-0.0127228740087302,0.0051111382336904,positive values favor dual_stream
Leave cell,MSE,3,-0.0009852494641892,0.0044107347351013,-0.0119421219561815,0.009971623027803,positive values favor dual_stream
Leave cell,MAE,3,-0.0006447544296476,0.0021766835342163,-0.0060519360835404,0.0047624272242452,positive values favor dual_stream
Leave cell,R2,3,-0.0009194695335308,0.0041162531488909,-0.0111448092118018,0.0093058701447401,positive values favor dual_stream
Leave cell,Pearson,3,-0.0067636957357684,0.0098688462551206,-0.0312792688895796,0.0177518774180427,positive values favor dual_stream
Leave cell,Spearman,3,-0.0062123279133262,0.0098407020928962,-0.0306579870923902,0.0182333312657376,positive values favor dual_stream
Scaffold,MSE,3,-0.0023723622796751,0.0027119366188383,-0.0091091863064082,0.004364461747058,positive values favor dual_stream
Scaffold,MAE,3,-0.0021184528820806,0.0026294345909671,-0.008650330510083,0.0044134247459216,positive values favor dual_stream
Scaffold,R2,3,-0.0022868967782857,0.0026142377872346,-0.0087810234530382,0.0042072298964666,positive values favor dual_stream
Scaffold,Pearson,3,-0.0008582153399265,0.0069650530954726,-0.0181603663987334,0.0164439357188803,positive values favor dual_stream
Scaffold,Spearman,3,-0.0020882695092237,0.0080337313006144,-0.0220451643991491,0.0178686253807015,positive values favor dual_stream
Corrected HDAC,MSE,3,0.0063661816334137,0.0232398740155305,-0.0513648658248922,0.0640972290917197,positive values favor dual_stream
Corrected HDAC,MAE,3,0.0021046924284476,0.004745488673727,-0.0096837549466416,0.0138931398035369,positive values favor dual_stream
Corrected HDAC,R2,3,0.0041714800648334,0.0152280718250638,-0.0336571474330503,0.0420001075627172,positive values favor dual_stream
Corrected HDAC,Pearson,3,-0.0011622547364833,0.011417461821979,-0.0295248022209311,0.0272002927479644,positive values favor dual_stream
Corrected HDAC,Spearman,3,0.0008574789200897,0.0125703796143262,-0.0303690751308755,0.0320840329710551,positive values favor dual_stream
