candidate,network_type,selected_genes,network_nodes,nodes_with_edges,network_edges,density,components,largest_component_nodes
Mocetinostat,physical,200,200,49,52,0.0026130653266331,160,30
Mocetinostat,functional,200,200,110,577,0.0289949748743718,102,66
NCH-51,physical,200,200,56,59,0.002964824120603,156,25
NCH-51,functional,200,200,116,944,0.0474371859296482,98,86
TC-H-106,physical,200,200,43,52,0.0026130653266331,167,13
TC-H-106,functional,200,200,88,243,0.0122110552763819,121,65
Belinostat,physical,200,200,55,61,0.0030653266331658,155,27
Belinostat,functional,200,200,105,968,0.048643216080402,104,81
Entinostat,physical,200,200,65,117,0.0058793969849246,142,38
Entinostat,functional,200,200,118,673,0.0338190954773869,92,59
Vorinostat,physical,200,200,63,106,0.0053266331658291,147,31
Vorinostat,functional,200,200,122,918,0.0461306532663316,87,95
