candidate,network_type,preferred_name,gene_id,gene_symbol,degree,weighted_degree,component_id,component_size,consensus_rank,disease_direction,predicted_drug_direction,measured_drug_direction,reversal_pattern,candidate_role,biology_scope
Mocetinostat,physical,BIRC5,332,BIRC5,1,0.875,1,30,1.0,up,down,down,disease_up_drug_down,core_candidate,primary_network_and_pathway
Mocetinostat,physical,TCF21,6943,TCF21,0,0.0,144,1,2.0,down,up,up,disease_down_drug_up,core_candidate,primary_network_and_pathway
Mocetinostat,physical,LYVE1,10894,LYVE1,0,0.0,84,1,3.0,down,up,up,disease_down_drug_up,core_candidate,primary_network_and_pathway
Mocetinostat,physical,FOSB,2354,FOSB,2,1.876,2,3,4.0,down,up,up,disease_down_drug_up,core_candidate,primary_network_and_pathway
Mocetinostat,physical,TEK,7010,TEK,0,0.0,145,1,5.0,down,up,up,disease_down_drug_up,core_candidate,primary_network_and_pathway
Mocetinostat,physical,NR4A3,8013,NR4A3,0,0.0,97,1,6.0,down,up,up,disease_down_drug_up,core_candidate,primary_network_and_pathway
Mocetinostat,physical,GINS2,51659,GINS2,1,0.862,1,30,7.0,up,down,down,disease_up_drug_down,core_candidate,primary_network_and_pathway
Mocetinostat,physical,RAD51,5888,RAD51,4,3.152,1,30,8.0,up,down,down,disease_up_drug_down,core_candidate,primary_network_and_pathway
Mocetinostat,physical,PLK1,5347,PLK1,5,4.056,1,30,9.0,up,down,down,disease_up_drug_down,core_candidate,primary_network_and_pathway
Mocetinostat,physical,CCNA2,890,CCNA2,4,3.631,1,30,10.0,up,down,down,disease_up_drug_down,core_candidate,primary_network_and_pathway
Mocetinostat,physical,GPM6A,2823,GPM6A,0,0.0,62,1,11.0,down,up,up,disease_down_drug_up,core_candidate,primary_network_and_pathway
Mocetinostat,physical,HBB,3043,HBB,0,0.0,65,1,12.0,down,up,up,disease_down_drug_up,core_candidate,primary_network_and_pathway
Mocetinostat,physical,BUB1,699,BUB1,6,5.056,1,30,13.0,up,down,down,disease_up_drug_down,core_candidate,primary_network_and_pathway
Mocetinostat,physical,MCM10,55388,MCM10,2,1.682,1,30,14.0,up,down,down,disease_up_drug_down,core_candidate,primary_network_and_pathway
Mocetinostat,physical,HJURP,55355,HJURP,0,0.0,66,1,15.0,up,down,down,disease_up_drug_down,core_candidate,primary_network_and_pathway
Mocetinostat,physical,TPX2,22974,TPX2,1,0.999,1,30,16.0,up,down,down,disease_up_drug_down,core_candidate,primary_network_and_pathway
Mocetinostat,physical,CDCA3,83461,CDCA3,0,0.0,32,1,17.0,up,down,down,disease_up_drug_down,core_candidate,primary_network_and_pathway
Mocetinostat,physical,ASF1B,55723,ASF1B,0,0.0,21,1,18.0,up,down,down,disease_up_drug_down,core_candidate,primary_network_and_pathway
Mocetinostat,physical,KCNK3,3777,KCNK3,0,0.0,73,1,19.0,down,up,up,disease_down_drug_up,core_candidate,primary_network_and_pathway
Mocetinostat,physical,CKAP2,26586,CKAP2,0,0.0,37,1,20.0,up,down,down,disease_up_drug_down,core_candidate,primary_network_and_pathway
Mocetinostat,physical,WASF3,10810,WASF3,0,0.0,155,1,21.0,down,up,up,disease_down_drug_up,core_candidate,primary_network_and_pathway
Mocetinostat,physical,ATF3,467,ATF3,2,1.864,2,3,22.0,down,up,up,disease_down_drug_up,core_candidate,primary_network_and_pathway
Mocetinostat,physical,KIF22,3835,KIF22,0,0.0,75,1,23.0,up,down,down,disease_up_drug_down,core_candidate,primary_network_and_pathway
Mocetinostat,physical,DUSP1,1843,DUSP1,0,0.0,50,1,24.0,down,up,up,disease_down_drug_up,core_candidate,primary_network_and_pathway
Mocetinostat,physical,MAN1A1,4121,MAN1A1,0,0.0,85,1,25.0,down,up,up,disease_down_drug_up,core_candidate,primary_network_and_pathway
Mocetinostat,physical,ABCB1,5243,ABCB1,0,0.0,10,1,26.0,down,up,up,disease_down_drug_up,core_candidate,primary_network_and_pathway
Mocetinostat,physical,UBE2C,11065,UBE2C,5,4.154999999999999,1,30,27.0,up,down,down,disease_up_drug_down,core_candidate,primary_network_and_pathway
Mocetinostat,physical,ADH1B,125,ADH1B,0,0.0,13,1,28.0,down,up,up,disease_down_drug_up,core_candidate,primary_network_and_pathway
Mocetinostat,physical,RACGAP1,29127,RACGAP1,1,0.931,4,3,29.0,up,down,down,disease_up_drug_down,core_candidate,primary_network_and_pathway
Mocetinostat,physical,AQP7,364,AQP7,0,0.0,20,1,30.0,down,up,up,disease_down_drug_up,core_candidate,primary_network_and_pathway
Mocetinostat,physical,PDK4,5166,PDK4,0,0.0,108,1,31.0,down,up,up,disease_down_drug_up,core_candidate,primary_network_and_pathway
Mocetinostat,physical,PRELP,5549,PRELP,0,0.0,115,1,32.0,down,up,up,disease_down_drug_up,core_candidate,primary_network_and_pathway
Mocetinostat,physical,LTBP4,8425,LTBP4,0,0.0,83,1,33.0,down,up,up,disease_down_drug_up,core_candidate,primary_network_and_pathway
Mocetinostat,physical,SCN11A,11280,SCN11A,0,0.0,131,1,34.0,down,up,up,disease_down_drug_up,core_candidate,primary_network_and_pathway
Mocetinostat,physical,AOC3,8639,AOC3,0,0.0,18,1,35.0,down,up,up,disease_down_drug_up,core_candidate,primary_network_and_pathway
Mocetinostat,physical,SCN3A,6328,SCN3A,0,0.0,132,1,36.0,down,up,up,disease_down_drug_up,core_candidate,primary_network_and_pathway
Mocetinostat,physical,PDE2A,5138,PDE2A,0,0.0,105,1,37.0,down,up,up,disease_down_drug_up,core_candidate,primary_network_and_pathway
Mocetinostat,physical,STARD8,9754,STARD8,0,0.0,139,1,38.0,down,up,up,disease_down_drug_up,core_candidate,primary_network_and_pathway
Mocetinostat,physical,XPNPEP2,7512,XPNPEP2,0,0.0,157,1,39.0,down,up,up,disease_down_drug_up,core_candidate,primary_network_and_pathway
Mocetinostat,physical,PDGFRA,5156,PDGFRA,0,0.0,107,1,40.0,down,up,up,disease_down_drug_up,core_candidate,primary_network_and_pathway
Mocetinostat,physical,PRKAR2B,5577,PRKAR2B,0,0.0,116,1,41.0,down,up,up,disease_down_drug_up,core_candidate,primary_network_and_pathway
Mocetinostat,physical,FRMD1,79981,FRMD1,0,0.0,55,1,42.0,down,up,up,disease_down_drug_up,core_candidate,primary_network_and_pathway
Mocetinostat,physical,WLS,79971,WLS,0,0.0,156,1,43.0,down,up,up,disease_down_drug_up,core_candidate,primary_network_and_pathway
Mocetinostat,physical,ADRA1A,148,ADRA1A,0,0.0,14,1,44.0,down,up,up,disease_down_drug_up,core_candidate,primary_network_and_pathway
Mocetinostat,physical,CCDC86,79080,CCDC86,0,0.0,28,1,45.0,up,down,down,disease_up_drug_down,core_candidate,primary_network_and_pathway
Mocetinostat,physical,CHRDL1,91851,CHRDL1,0,0.0,36,1,46.0,down,up,up,disease_down_drug_up,core_candidate,primary_network_and_pathway
Mocetinostat,physical,OGN,4969,OGN,0,0.0,98,1,47.0,down,up,up,disease_down_drug_up,core_candidate,primary_network_and_pathway
Mocetinostat,physical,ZNF331,55422,ZNF331,0,0.0,160,1,48.0,down,up,up,disease_down_drug_up,core_candidate,primary_network_and_pathway
Mocetinostat,physical,TXNIP,10628,TXNIP,0,0.0,153,1,49.0,down,up,up,disease_down_drug_up,core_candidate,primary_network_and_pathway
Mocetinostat,physical,AURKA,6790,AURKA,6,5.284000000000001,1,30,50.0,up,down,down,disease_up_drug_down,core_candidate,primary_network_and_pathway
Mocetinostat,physical,LIFR,3977,LIFR,0,0.0,78,1,51.0,down,up,up,disease_down_drug_up,core_candidate,primary_network_and_pathway
Mocetinostat,physical,RASGRP2,10235,RASGRP2,0,0.0,123,1,52.0,down,up,up,disease_down_drug_up,core_candidate,primary_network_and_pathway
Mocetinostat,physical,FOS,2353,FOS,2,1.984,2,3,53.0,down,up,up,disease_down_drug_up,core_candidate,primary_network_and_pathway
Mocetinostat,physical,CLEC3B,7123,CLEC3B,0,0.0,39,1,54.0,down,up,up,disease_down_drug_up,core_candidate,primary_network_and_pathway
Mocetinostat,physical,TSPAN7,7102,TSPAN7,0,0.0,151,1,55.0,down,up,up,disease_down_drug_up,core_candidate,primary_network_and_pathway
Mocetinostat,physical,ATP1B2,482,ATP1B2,2,1.62,3,3,56.0,down,up,up,disease_down_drug_up,core_candidate,primary_network_and_pathway
Mocetinostat,physical,HSD17B6,8630,HSD17B6,0,0.0,68,1,57.0,down,up,up,disease_down_drug_up,core_candidate,primary_network_and_pathway
Mocetinostat,physical,KIF20A,10112,KIF20A,2,1.687,4,3,58.0,up,down,down,disease_up_drug_down,core_candidate,primary_network_and_pathway
Mocetinostat,physical,CCNB2,9133,CCNB2,2,1.6,1,30,59.0,up,down,down,disease_up_drug_down,core_candidate,primary_network_and_pathway
Mocetinostat,physical,TOP2A,7153,TOP2A,0,0.0,148,1,60.0,up,down,down,disease_up_drug_down,core_candidate,primary_network_and_pathway
Mocetinostat,physical,FOXM1,2305,FOXM1,2,1.71,1,30,61.0,up,down,down,disease_up_drug_down,core_candidate,primary_network_and_pathway
