cancer,gdc_project,gdc_source_url,tumor_n,normal_n,total_n,paired_normal_status,model_feature_genes,global_disease_matrix_sha256,global_observed_mask_sha256,source_signature_status,count_status
BLCA,TCGA-BLCA,https://portal.gdc.cancer.gov/,,,,not_preserved_per_cohort,12328,b3e40633c62d37bbd811ce91685e9a1a9bc46b554c8fa35f67f6be0e7b3b8164,c770a6c191514d10fc596401a5e982fe801a1852046078c64599c723a591b6cf,analysis_input_signature_BLCA_csv_not_preserved,not_captured_in_frozen_archive_not_reconstructed
BRCA,TCGA-BRCA,https://portal.gdc.cancer.gov/,,,,not_preserved_per_cohort,12328,b3e40633c62d37bbd811ce91685e9a1a9bc46b554c8fa35f67f6be0e7b3b8164,c770a6c191514d10fc596401a5e982fe801a1852046078c64599c723a591b6cf,analysis_input_signature_BRCA_csv_not_preserved,not_captured_in_frozen_archive_not_reconstructed
CESC,TCGA-CESC,https://portal.gdc.cancer.gov/,,,,not_preserved_per_cohort,12328,b3e40633c62d37bbd811ce91685e9a1a9bc46b554c8fa35f67f6be0e7b3b8164,c770a6c191514d10fc596401a5e982fe801a1852046078c64599c723a591b6cf,analysis_input_signature_CESC_csv_not_preserved,not_captured_in_frozen_archive_not_reconstructed
CHOL,TCGA-CHOL,https://portal.gdc.cancer.gov/,,,,not_preserved_per_cohort,12328,b3e40633c62d37bbd811ce91685e9a1a9bc46b554c8fa35f67f6be0e7b3b8164,c770a6c191514d10fc596401a5e982fe801a1852046078c64599c723a591b6cf,analysis_input_signature_CHOL_csv_not_preserved,not_captured_in_frozen_archive_not_reconstructed
COAD,TCGA-COAD,https://portal.gdc.cancer.gov/,,,,not_preserved_per_cohort,12328,b3e40633c62d37bbd811ce91685e9a1a9bc46b554c8fa35f67f6be0e7b3b8164,c770a6c191514d10fc596401a5e982fe801a1852046078c64599c723a591b6cf,analysis_input_signature_COAD_csv_not_preserved,not_captured_in_frozen_archive_not_reconstructed
ESCA,TCGA-ESCA,https://portal.gdc.cancer.gov/,,,,not_preserved_per_cohort,12328,b3e40633c62d37bbd811ce91685e9a1a9bc46b554c8fa35f67f6be0e7b3b8164,c770a6c191514d10fc596401a5e982fe801a1852046078c64599c723a591b6cf,analysis_input_signature_ESCA_csv_not_preserved,not_captured_in_frozen_archive_not_reconstructed
HNSC,TCGA-HNSC,https://portal.gdc.cancer.gov/,,,,not_preserved_per_cohort,12328,b3e40633c62d37bbd811ce91685e9a1a9bc46b554c8fa35f67f6be0e7b3b8164,c770a6c191514d10fc596401a5e982fe801a1852046078c64599c723a591b6cf,analysis_input_signature_HNSC_csv_not_preserved,not_captured_in_frozen_archive_not_reconstructed
KICH,TCGA-KICH,https://portal.gdc.cancer.gov/,,,,not_preserved_per_cohort,12328,b3e40633c62d37bbd811ce91685e9a1a9bc46b554c8fa35f67f6be0e7b3b8164,c770a6c191514d10fc596401a5e982fe801a1852046078c64599c723a591b6cf,analysis_input_signature_KICH_csv_not_preserved,not_captured_in_frozen_archive_not_reconstructed
KIRC,TCGA-KIRC,https://portal.gdc.cancer.gov/,,,,not_preserved_per_cohort,12328,b3e40633c62d37bbd811ce91685e9a1a9bc46b554c8fa35f67f6be0e7b3b8164,c770a6c191514d10fc596401a5e982fe801a1852046078c64599c723a591b6cf,analysis_input_signature_KIRC_csv_not_preserved,not_captured_in_frozen_archive_not_reconstructed
KIRP,TCGA-KIRP,https://portal.gdc.cancer.gov/,,,,not_preserved_per_cohort,12328,b3e40633c62d37bbd811ce91685e9a1a9bc46b554c8fa35f67f6be0e7b3b8164,c770a6c191514d10fc596401a5e982fe801a1852046078c64599c723a591b6cf,analysis_input_signature_KIRP_csv_not_preserved,not_captured_in_frozen_archive_not_reconstructed
LIHC,TCGA-LIHC,https://portal.gdc.cancer.gov/,,,,not_preserved_per_cohort,12328,b3e40633c62d37bbd811ce91685e9a1a9bc46b554c8fa35f67f6be0e7b3b8164,c770a6c191514d10fc596401a5e982fe801a1852046078c64599c723a591b6cf,analysis_input_signature_LIHC_csv_not_preserved,not_captured_in_frozen_archive_not_reconstructed
LUAD,TCGA-LUAD,https://portal.gdc.cancer.gov/,,,,not_preserved_per_cohort,12328,b3e40633c62d37bbd811ce91685e9a1a9bc46b554c8fa35f67f6be0e7b3b8164,c770a6c191514d10fc596401a5e982fe801a1852046078c64599c723a591b6cf,analysis_input_signature_LUAD_csv_not_preserved,not_captured_in_frozen_archive_not_reconstructed
LUSC,TCGA-LUSC,https://portal.gdc.cancer.gov/,,,,not_preserved_per_cohort,12328,b3e40633c62d37bbd811ce91685e9a1a9bc46b554c8fa35f67f6be0e7b3b8164,c770a6c191514d10fc596401a5e982fe801a1852046078c64599c723a591b6cf,analysis_input_signature_LUSC_csv_not_preserved,not_captured_in_frozen_archive_not_reconstructed
PAAD,TCGA-PAAD,https://portal.gdc.cancer.gov/,,,,not_preserved_per_cohort,12328,b3e40633c62d37bbd811ce91685e9a1a9bc46b554c8fa35f67f6be0e7b3b8164,c770a6c191514d10fc596401a5e982fe801a1852046078c64599c723a591b6cf,analysis_input_signature_PAAD_csv_not_preserved,not_captured_in_frozen_archive_not_reconstructed
PCPG,TCGA-PCPG,https://portal.gdc.cancer.gov/,,,,not_preserved_per_cohort,12328,b3e40633c62d37bbd811ce91685e9a1a9bc46b554c8fa35f67f6be0e7b3b8164,c770a6c191514d10fc596401a5e982fe801a1852046078c64599c723a591b6cf,analysis_input_signature_PCPG_csv_not_preserved,not_captured_in_frozen_archive_not_reconstructed
PRAD,TCGA-PRAD,https://portal.gdc.cancer.gov/,,,,not_preserved_per_cohort,12328,b3e40633c62d37bbd811ce91685e9a1a9bc46b554c8fa35f67f6be0e7b3b8164,c770a6c191514d10fc596401a5e982fe801a1852046078c64599c723a591b6cf,analysis_input_signature_PRAD_csv_not_preserved,not_captured_in_frozen_archive_not_reconstructed
READ,TCGA-READ,https://portal.gdc.cancer.gov/,,,,not_preserved_per_cohort,12328,b3e40633c62d37bbd811ce91685e9a1a9bc46b554c8fa35f67f6be0e7b3b8164,c770a6c191514d10fc596401a5e982fe801a1852046078c64599c723a591b6cf,analysis_input_signature_READ_csv_not_preserved,not_captured_in_frozen_archive_not_reconstructed
SARC,TCGA-SARC,https://portal.gdc.cancer.gov/,,,,not_preserved_per_cohort,12328,b3e40633c62d37bbd811ce91685e9a1a9bc46b554c8fa35f67f6be0e7b3b8164,c770a6c191514d10fc596401a5e982fe801a1852046078c64599c723a591b6cf,analysis_input_signature_SARC_csv_not_preserved,not_captured_in_frozen_archive_not_reconstructed
STAD,TCGA-STAD,https://portal.gdc.cancer.gov/,,,,not_preserved_per_cohort,12328,b3e40633c62d37bbd811ce91685e9a1a9bc46b554c8fa35f67f6be0e7b3b8164,c770a6c191514d10fc596401a5e982fe801a1852046078c64599c723a591b6cf,analysis_input_signature_STAD_csv_not_preserved,not_captured_in_frozen_archive_not_reconstructed
THCA,TCGA-THCA,https://portal.gdc.cancer.gov/,,,,not_preserved_per_cohort,12328,b3e40633c62d37bbd811ce91685e9a1a9bc46b554c8fa35f67f6be0e7b3b8164,c770a6c191514d10fc596401a5e982fe801a1852046078c64599c723a591b6cf,analysis_input_signature_THCA_csv_not_preserved,not_captured_in_frozen_archive_not_reconstructed
THYM,TCGA-THYM,https://portal.gdc.cancer.gov/,,,,not_preserved_per_cohort,12328,b3e40633c62d37bbd811ce91685e9a1a9bc46b554c8fa35f67f6be0e7b3b8164,c770a6c191514d10fc596401a5e982fe801a1852046078c64599c723a591b6cf,analysis_input_signature_THYM_csv_not_preserved,not_captured_in_frozen_archive_not_reconstructed
UCEC,TCGA-UCEC,https://portal.gdc.cancer.gov/,,,,not_preserved_per_cohort,12328,b3e40633c62d37bbd811ce91685e9a1a9bc46b554c8fa35f67f6be0e7b3b8164,c770a6c191514d10fc596401a5e982fe801a1852046078c64599c723a591b6cf,analysis_input_signature_UCEC_csv_not_preserved,not_captured_in_frozen_archive_not_reconstructed
